x,fit_time,fit_time_std,score_time,score_time_std,r2,r2_std,neg_mean_squared_error,neg_mean_squared_error_std,neg_mean_absolute_error,neg_mean_absolute_error_std
8000,7.32592092514038,0.21330793091944839,1.1908409690856934,0.09654596273589285,0.5715680428923184,0.013772700500561594,-1.9452953866456173,0.06827608699264745,-1.03660018355796,0.01767635702367302
7500,7.771839303970336,0.5317348798391757,1.1689614677429199,0.17420965137653852,0.5758744596353917,0.013090008820407478,-1.9231336444883151,0.06108277132658864,-1.0334628059755024,0.016340191403314025
7000,7.885614194869996,0.7006660626596423,1.0791610431671141,0.10671436273522791,0.5668520371542578,0.01348512544274955,-1.9616388917785081,0.07173437223282639,-1.042951316367552,0.018614312285104875
6500,7.284320116043091,0.7880215632405683,1.040626049041748,0.1849569905612473,0.5688956962712161,0.011478672548074265,-1.9588735016015495,0.0513866668745853,-1.0397264864583675,0.014225108585565152
6000,7.036268711090088,0.7142736973977521,1.0503329944610595,0.2697598390078852,0.5492144909855222,0.01395672537512167,-2.0464555380492913,0.07965619121833019,-1.0642008734868758,0.021472467972709956
5500,6.479166193008423,0.9599927304536136,0.966015672683716,0.24131839020027473,0.5636484718307984,0.016444988043589796,-1.9651453904275478,0.07887996968432148,-1.0442311050649948,0.018579447004642233
5000,5.172591075897217,0.5257160957716509,0.6772050285339356,0.06617997885841753,0.5606892268349906,0.011557414613780913,-1.9842820956998821,0.07270507146594192,-1.0522705832343742,0.01994633036603958
4500,4.2212365627288815,0.13227996664529393,0.6083225727081298,0.09165612513227568,0.5721839344072415,0.01242326326249895,-1.900149776077317,0.07125977125069666,-1.0279539796386898,0.020067296888525692
4000,4.290697231292725,0.34950927556572825,0.5580046367645264,0.04054686090380134,0.5619541336246952,0.01324779294106399,-1.995679315384623,0.07201960018039469,-1.0597233000339188,0.021518739192684072
3500,3.9303293228149414,0.2509220106272088,0.5320443248748778,0.049957295426491875,0.5543290608847011,0.01890337987504409,-2.0481921535778604,0.10280963697498184,-1.0779029589126783,0.03062361629151475
3000,3.2945568752288823,0.10580575524555061,0.40494770050048823,0.018293764951643903,0.5374197386476565,0.014385178339846214,-2.1416248900747665,0.07985403359877305,-1.0920576540329698,0.02325332964208644
2500,2.774341497421264,0.15817014490383374,0.3665787506103516,0.06506465033880315,0.5474070716187774,0.02055309580858117,-2.071468504241307,0.0922523881249123,-1.0853316490117844,0.023495100653158865
2000,2.257479496002197,0.14847021314223996,0.295229139328003,0.05312138638373304,0.5231398854917196,0.02230666626013946,-2.0497332943924222,0.10115359733204968,-1.0968358648214795,0.028003272095020303
1500,1.7299337291717527,0.1546387957867231,0.2016824722290039,0.021386205266267132,0.5072067757482464,0.0364409924265047,-2.235214359177414,0.1668597221775166,-1.127238024623178,0.03662954917204436
1000,1.195571813583374,0.13530848737705922,0.14216983795166013,0.030495883150856072,0.4989669585660435,0.03267864472168932,-2.2871182362332907,0.21824338971173168,-1.1392763698021748,0.04757981907817649
500,0.5688042736053467,0.0757258093519851,0.06190450668334961,0.0073222879390736255,0.42242375486806444,0.048499916585506134,-2.807463293599935,0.263372235458597,-1.2825327223004552,0.06407491183159476
