elm_func,elm_n_neurons,MAE,w2vwindow_size,w2vdimensions,w2vword_min_count,w2vtraining_epochs
rbf_l2,10,1.2196180181716645,7,10,3,15
lin,15,1.1840623974807152,7,10,3,15
tanh,15,1.1440481462243721,7,10,3,15
rbf_l2,15,1.1731389465982383,7,10,3,15
lin,17,1.1762487835325737,7,10,3,15
tanh,17,1.1604069892267996,7,10,3,15
rbf_l2,17,1.1728002745859978,7,10,3,15
lin,20,1.1879051205359612,7,10,3,15
tanh,20,1.1052531157834828,7,10,3,15
rbf_l2,20,1.1331245542424155,7,10,3,15
lin,5,1.2371352077982505,7,10,5,15
tanh,5,1.4373193337594634,7,10,5,15
rbf_l2,5,1.2906396889617477,7,10,5,15
lin,7,1.24183560069626,7,10,5,15
tanh,7,1.184326067299426,7,10,5,15
rbf_l2,7,1.287951638276212,7,10,5,15
lin,10,1.1689329170137097,7,10,5,15
tanh,10,1.2739875632054258,7,10,5,15
rbf_l2,10,1.1678122745121216,7,10,5,15
lin,15,1.1720935924221982,7,10,5,15
tanh,15,1.1834775248215834,7,10,5,15
rbf_l2,15,1.1707926384078284,7,10,5,15
lin,17,1.1732081530061351,7,10,5,15
tanh,17,1.127014768212525,7,10,5,15
rbf_l2,17,1.1374190522897585,7,10,5,15
lin,20,1.1696656852567797,7,10,5,15
tanh,20,1.1164587294699697,7,10,5,15
rbf_l2,20,1.1205659561507573,7,10,5,15
lin,15,1.207269738249453,2,30,1,15
tanh,15,1.230528671924943,2,30,1,15
rbf_l2,15,1.2000866482666654,2,30,1,15
lin,22,1.1507604495971322,2,30,1,15
tanh,22,1.1968112189704525,2,30,1,15
rbf_l2,22,1.153633355158458,2,30,1,15
lin,30,1.1192545339315454,2,30,1,15
tanh,30,1.1317794672971104,2,30,1,15
rbf_l2,30,1.1245618822719317,2,30,1,15
lin,45,1.1293979837291936,2,30,1,15
tanh,45,1.097369264234807,2,30,1,15
rbf_l2,45,1.1002318009441032,2,30,1,15
lin,52,1.1287361057699463,2,30,1,15
tanh,52,1.0958761567354078,2,30,1,15
rbf_l2,52,1.0911474616652883,2,30,1,15
lin,60,1.1238082095766366,2,30,1,15
tanh,60,1.0760965549250012,2,30,1,15
rbf_l2,60,1.0952797071644504,2,30,1,15
lin,15,1.181724913760907,2,30,3,15
tanh,15,1.2384256984541107,2,30,3,15
rbf_l2,15,1.230853005074211,2,30,3,15
lin,22,1.1330203472791076,2,30,3,15
tanh,22,1.1784368113028385,2,30,3,15
rbf_l2,22,1.1474700112723972,2,30,3,15
lin,30,1.1240388993015293,2,30,3,15
tanh,30,1.1108943522713173,2,30,3,15
rbf_l2,30,1.1376649527370897,2,30,3,15
lin,45,1.1174169107908407,2,30,3,15
tanh,45,1.0992768492244305,2,30,3,15
rbf_l2,45,1.0919284580903708,2,30,3,15
lin,52,1.1246350907325833,2,30,3,15
tanh,52,1.090776342558621,2,30,3,15
rbf_l2,52,1.0862855502040856,2,30,3,15
lin,60,1.1179375878193043,2,30,3,15
tanh,60,1.0992360425275498,2,30,3,15
rbf_l2,60,1.0824195488222057,2,30,3,15
lin,15,1.1754343352093168,2,30,5,15
tanh,15,1.1946146409120408,2,30,5,15
rbf_l2,15,1.1733922510520642,2,30,5,15
lin,22,1.1387633322978838,2,30,5,15
tanh,22,1.160391908293784,2,30,5,15
rbf_l2,22,1.192792111235248,2,30,5,15
lin,30,1.1239845130232708,2,30,5,15
tanh,30,1.1411288696762827,2,30,5,15
rbf_l2,30,1.1283299295570675,2,30,5,15
lin,45,1.1305535545479652,2,30,5,15
tanh,45,1.0975865307690955,2,30,5,15
rbf_l2,45,1.103588410163632,2,30,5,15
lin,52,1.1320789923641952,2,30,5,15
tanh,52,1.10144417511946,2,30,5,15
rbf_l2,52,1.1057482915125538,2,30,5,15
lin,60,1.1335768417711547,2,30,5,15
tanh,60,1.088641156807741,2,30,5,15
rbf_l2,60,1.0931809570317257,2,30,5,15
lin,15,1.1362400535034913,5,30,1,15
tanh,15,1.263785636048673,5,30,1,15
rbf_l2,15,1.1706917121815714,5,30,1,15
lin,22,1.1357357548776696,5,30,1,15
tanh,22,1.1964843259582572,5,30,1,15
rbf_l2,22,1.1621148359448799,5,30,1,15
lin,30,1.1111083020615655,5,30,1,15
tanh,30,1.1071952527803814,5,30,1,15
rbf_l2,30,1.1156213619520465,5,30,1,15
lin,45,1.1165135520502558,5,30,1,15
tanh,45,1.108484195478559,5,30,1,15
rbf_l2,45,1.0913294048111148,5,30,1,15
lin,52,1.109407352795707,5,30,1,15
tanh,52,1.0922398390078891,5,30,1,15
rbf_l2,52,1.0785443745261643,5,30,1,15
lin,60,1.107715566521193,5,30,1,15
tanh,60,1.0558954917582741,5,30,1,15
rbf_l2,60,1.0772035442464045,5,30,1,15
lin,15,1.1792623809123206,5,30,3,15
tanh,15,1.1834345636781884,5,30,3,15
rbf_l2,15,1.2002730553602272,5,30,3,15
lin,22,1.1289573701299642,5,30,3,15
tanh,22,1.159234054430987,5,30,3,15
rbf_l2,22,1.1123604169211976,5,30,3,15
lin,30,1.115181847932925,5,30,3,15
tanh,30,1.1245193581777744,5,30,3,15
rbf_l2,30,1.1112520094541554,5,30,3,15
lin,45,1.1046772145880746,5,30,3,15
tanh,45,1.1063601198611304,5,30,3,15
rbf_l2,45,1.0915777202806887,5,30,3,15
lin,52,1.1200019172222102,5,30,3,15
tanh,52,1.0917726539654664,5,30,3,15
rbf_l2,52,1.0632792549681336,5,30,3,15
lin,60,1.1172137276939114,5,30,3,15
tanh,60,1.0579979218841817,5,30,3,15
rbf_l2,60,1.0614693629693175,5,30,3,15
lin,15,1.165296808878761,5,30,5,15
tanh,15,1.200312596469726,5,30,5,15
rbf_l2,15,1.17511057011789,5,30,5,15
lin,22,1.1327243930470785,5,30,5,15
tanh,22,1.1835566928935872,5,30,5,15
rbf_l2,22,1.1326815251857436,5,30,5,15
lin,30,1.1105472185560747,5,30,5,15
tanh,30,1.117368345340474,5,30,5,15
rbf_l2,30,1.0976300981557485,5,30,5,15
lin,45,1.1137982012111123,5,30,5,15
tanh,45,1.0909639562383249,5,30,5,15
rbf_l2,45,1.0755285255091975,5,30,5,15
lin,52,1.1093382526595543,5,30,5,15
tanh,52,1.0681334950072248,5,30,5,15
rbf_l2,52,1.084745423843567,5,30,5,15
lin,60,1.112785576323177,5,30,5,15
tanh,60,1.0670676780982362,5,30,5,15
rbf_l2,60,1.05799238487745,5,30,5,15
lin,15,1.148785654902872,7,30,1,15
tanh,15,1.2225151959396872,7,30,1,15
rbf_l2,15,1.174007510435263,7,30,1,15
lin,22,1.1246943461178662,7,30,1,15
tanh,22,1.1086783847397346,7,30,1,15
rbf_l2,22,1.1487149237951118,7,30,1,15
lin,30,1.115638129667718,7,30,1,15
tanh,30,1.1527805031046694,7,30,1,15
rbf_l2,30,1.1245699350237457,7,30,1,15
lin,45,1.1146161579995677,7,30,1,15
tanh,45,1.0900980205458424,7,30,1,15
rbf_l2,45,1.091111995174285,7,30,1,15
lin,52,1.112062718286495,7,30,1,15
tanh,52,1.0835541375472966,7,30,1,15
rbf_l2,52,1.0703566501129806,7,30,1,15
lin,60,1.115039595857183,7,30,1,15
tanh,60,1.0809608462897453,7,30,1,15
rbf_l2,60,1.0680467689883977,7,30,1,15
lin,15,1.1496261012159084,7,30,3,15
tanh,15,1.1926435810093656,7,30,3,15
rbf_l2,15,1.2286629278024397,7,30,3,15
lin,22,1.1285480200664892,7,30,3,15
tanh,22,1.1563536848224973,7,30,3,15
rbf_l2,22,1.1214482412453828,7,30,3,15
lin,30,1.1124993524747953,7,30,3,15
tanh,30,1.0979937117851883,7,30,3,15
rbf_l2,30,1.1423560511365651,7,30,3,15
lin,45,1.1053949133193528,7,30,3,15
tanh,45,1.0816252550677419,7,30,3,15
rbf_l2,45,1.0889784359032595,7,30,3,15
lin,52,1.1061839461951195,7,30,3,15
tanh,52,1.0783793830564394,7,30,3,15
rbf_l2,52,1.0617684834910486,7,30,3,15
lin,60,1.1116672516754695,7,30,3,15
tanh,60,1.0550552549881735,7,30,3,15
rbf_l2,60,1.062252045590974,7,30,3,15
lin,15,1.1402144405763814,7,30,5,15
tanh,15,1.1738261660427949,7,30,5,15
rbf_l2,15,1.19945034407408,7,30,5,15
lin,22,1.13102176338673,7,30,5,15
tanh,22,1.138760845616267,7,30,5,15
rbf_l2,22,1.1369032858682409,7,30,5,15
lin,30,1.1177414463613116,7,30,5,15
tanh,30,1.117072136712536,7,30,5,15
rbf_l2,30,1.1377482149275537,7,30,5,15
lin,45,1.1153153623741978,7,30,5,15
tanh,45,1.0890888067617681,7,30,5,15
rbf_l2,45,1.0782345601077385,7,30,5,15
lin,52,1.1119096252111111,7,30,5,15
tanh,52,1.0647256595126444,7,30,5,15
rbf_l2,52,1.075827286232009,7,30,5,15
lin,60,1.1121966164400443,7,30,5,15
tanh,60,1.0714815179830368,7,30,5,15
rbf_l2,60,1.0726468840365002,7,30,5,15
lin,25,1.1960901329327236,2,50,1,15
tanh,25,1.2268449728172337,2,50,1,15
rbf_l2,25,1.1820690893771066,2,50,1,15
lin,37,1.1607769684029763,2,50,1,15
tanh,37,1.1286213433714098,2,50,1,15
rbf_l2,37,1.152925773827429,2,50,1,15
lin,50,1.1147452417271215,2,50,1,15
