SVR_MAE,w2vwindow_size,w2vdimensions,w2vword_min_count,w2vtraining_epochs
0.9793910171537921,2,100,1,15
0.989999591745406,2,100,1,15
1.0082029730313087,2,100,1,15
1.0021981419421113,2,100,1,15
1.0400265105917073,2,100,1,15
1.0044939009314273,2,100,1,15
0.9780698259230558,5,100,1,15
1.0123921838772603,5,100,1,15
0.9979624098206772,5,100,1,15
1.0067568151158537,5,100,1,15
1.0010894307794929,5,100,1,15
1.0106777781793839,5,100,1,15
1.0028188622839949,7,100,1,15
0.9833268798985809,7,100,1,15
1.0101024911253336,7,100,1,15
1.0236046794348705,7,100,1,15
1.0225424979674789,7,100,1,15
1.0056106969991123,7,100,1,15
1.011268735443918,2,100,1,15
1.0047627487249546,2,100,1,15
0.9927196053014373,2,100,1,15
0.9924642459887751,2,100,1,15
1.013132802843264,2,100,1,15
1.032252508239891,2,100,1,15
1.0132857484241165,5,100,1,15
0.9969604472220149,5,100,1,15
0.9972167036822921,5,100,1,15
0.9904887761300056,5,100,1,15
1.002805561605062,5,100,1,15
1.0284648364165858,5,100,1,15
1.0016002624098694,7,100,1,15
0.9821186123549375,7,100,1,15
1.0139076110563656,7,100,1,15
0.9864491118684378,7,100,1,15
1.0370361272203978,7,100,1,15
1.0285799609324795,7,100,1,15
1.0371062433239169,2,100,1,15
0.9936950600981049,2,100,1,15
0.9786358009941949,2,100,1,15
1.0094832188146132,2,100,1,15
0.9921579795016371,2,100,1,15
0.9974335063917706,2,100,1,15
1.0052037368352984,5,100,1,15
1.0028455900411695,5,100,1,15
1.0116933044830891,5,100,1,15
0.9929364824233502,5,100,1,15
1.030842580904735,5,100,1,15
0.984084871906132,5,100,1,15
1.0280978773432348,7,100,1,15
1.0109153058308076,7,100,1,15
0.9897840091072678,7,100,1,15
1.0249391531205259,7,100,1,15
1.018615310523423,7,100,1,15
0.9946521395779395,7,100,1,15
1.0091822198857112,2,100,1,15
1.0185479928919665,2,100,1,15
1.009902691982273,2,100,1,15
1.0386416728326306,2,100,1,15
1.0160133506503137,2,100,1,15
1.0150226910902387,2,100,1,15
1.0148896890447747,5,100,1,15
1.033588104996073,5,100,1,15
1.0045869707253345,5,100,1,15
1.0121927974119855,5,100,1,15
1.013726842220557,5,100,1,15
1.0236934280024896,5,100,1,15
1.0372906152990908,7,100,1,15
1.0122968505485368,7,100,1,15
1.0208976192794799,7,100,1,15
1.0329104507947258,7,100,1,15
1.0147754174447707,7,100,1,15
0.973956056656118,7,100,1,15
1.0185249998554,2,100,1,15
1.0116230006524767,2,100,1,15
1.0178108391529839,2,100,1,15
1.0044853699507101,2,100,1,15
1.0014805173715058,2,100,1,15
1.0025867612306882,2,100,1,15
0.9828486856517864,5,100,1,15
1.014272939361796,5,100,1,15
1.0152111769547378,5,100,1,15
0.9953034228357659,5,100,1,15
0.9758483490926517,5,100,1,15
1.010796388711473,5,100,1,15
1.0265160159666724,7,100,1,15
1.00204658129638,7,100,1,15
1.0127032672901097,7,100,1,15
1.046863464051111,7,100,1,15
0.9837656286670567,7,100,1,15
1.0024854420160887,7,100,1,15
1.009956282465631,2,100,1,15
1.0254158905474227,2,100,1,15
1.0051295902193136,2,100,1,15
0.9874631572162531,2,100,1,15
1.0074904980510595,2,100,1,15
0.9901359935711037,2,100,1,15
1.0076039048115957,5,100,1,15
0.9945352913839909,5,100,1,15
0.9870916678018361,5,100,1,15
1.0079228511307476,5,100,1,15
1.0104249735994375,5,100,1,15
0.99574868883556,5,100,1,15
0.9902372379441655,7,100,1,15
1.0174380047438558,7,100,1,15
1.0052314048621354,7,100,1,15
1.011870117004828,7,100,1,15
1.0177215642683413,7,100,1,15
1.0237495014550475,7,100,1,15
1.0011024469956582,2,100,1,15
1.0198417914353883,2,100,1,15
1.0143209886613653,2,100,1,15
1.0213489574240682,2,100,1,15
0.9701454655394185,2,100,1,15
1.013943754672653,2,100,1,15
0.9922342597959245,5,100,1,15
1.0016389920947801,5,100,1,15
1.0049262670670962,5,100,1,15
0.9971562575170484,5,100,1,15
1.0183655111981227,5,100,1,15
1.0080349400489301,5,100,1,15
1.0008482026909076,7,100,1,15
1.0071534109428015,7,100,1,15
1.035002170734528,7,100,1,15
0.9977092971302957,7,100,1,15
0.980989057986662,7,100,1,15
0.9990494696173308,7,100,1,15
0.9996152683912831,2,100,1,15
1.009625759790647,2,100,1,15
1.0053249311014096,2,100,1,15
1.0117989847650235,2,100,1,15
1.0073635945702386,2,100,1,15
0.9833363978614559,2,100,1,15
0.9746535450322682,5,100,1,15
0.9802749807925695,5,100,1,15
1.0451697896401597,5,100,1,15
0.9945274249232247,5,100,1,15
1.0461915574683247,5,100,1,15
1.0164694428607775,5,100,1,15
0.9722783155244855,7,100,1,15
1.0160094660640548,7,100,1,15
1.0003914501497664,7,100,1,15
1.0100028065964344,7,100,1,15
1.0232192500259931,7,100,1,15
1.0141316306864525,7,100,1,15
1.0013590220539723,2,100,1,15
1.002083332823249,2,100,1,15
1.0016185365918162,2,100,1,15
1.0076893252212933,2,100,1,15
1.018681249208558,2,100,1,15
0.9931247794269682,2,100,1,15
1.0290050553453463,5,100,1,15
1.0223457403555074,5,100,1,15
1.0053627556064069,5,100,1,15
1.0036872442838196,5,100,1,15
1.0212367787172378,5,100,1,15
1.0149067172286572,5,100,1,15
1.01954647694535,7,100,1,15
1.004981562882748,7,100,1,15
1.0144156934706552,7,100,1,15
0.9916365636369374,7,100,1,15
1.0257210914263324,7,100,1,15
0.9959310713656162,7,100,1,15
