elm_func,elm_n_neurons,MAE,w2vwindow_size,w2vdimensions,w2vword_min_count,w2vtraining_epochs
sigm,200,1.043673017584928,2,100,1,15
lin,200,1.092062505104347,2,100,1,15
tanh,200,1.0420600096536394,2,100,1,15
rbf_l2,200,1.0495778264414521,2,100,1,15
rbf_linf,200,1.0639122992386079,2,100,1,15
sigm,33,1.2092373675176775,5,100,1,15
lin,33,1.1558448583857992,5,100,1,15
tanh,33,1.1629240053792818,5,100,1,15
rbf_l2,33,1.1876740231795124,5,100,1,15
rbf_linf,33,1.1842412690737016,5,100,1,15
sigm,50,1.11939517211573,5,100,1,15
lin,50,1.1266101106645636,5,100,1,15
tanh,50,1.1012005343528255,5,100,1,15
rbf_l2,50,1.1373301308345893,5,100,1,15
rbf_linf,50,1.143125206712687,5,100,1,15
sigm,75,1.1159294593748137,5,100,1,15
lin,75,1.0977118922970368,5,100,1,15
tanh,75,1.0890755197630089,5,100,1,15
rbf_l2,75,1.1141235917409404,5,100,1,15
rbf_linf,75,1.0903584262420476,5,100,1,15
sigm,100,1.0784085057769837,5,100,1,15
lin,100,1.0704617051496712,5,100,1,15
tanh,100,1.0769428921381383,5,100,1,15
rbf_l2,100,1.0890434158639475,5,100,1,15
rbf_linf,100,1.084621856191269,5,100,1,15
sigm,125,1.0781364155845776,5,100,1,15
lin,125,1.0902813997726108,5,100,1,15
tanh,125,1.0654170240011047,5,100,1,15
rbf_l2,125,1.0722802021017068,5,100,1,15
rbf_linf,125,1.0692554951356328,5,100,1,15
sigm,150,1.0584636630105424,5,100,1,15
lin,150,1.0824487231048185,5,100,1,15
tanh,150,1.0533264545177405,5,100,1,15
rbf_l2,150,1.0545190399106636,5,100,1,15
rbf_linf,150,1.0709553614240577,5,100,1,15
sigm,175,1.0495426879493652,5,100,1,15
lin,175,1.087062969198831,5,100,1,15
tanh,175,1.049498666386708,5,100,1,15
rbf_l2,175,1.0559516734919674,5,100,1,15
rbf_linf,175,1.0726072592889664,5,100,1,15
sigm,200,1.042034615767864,5,100,1,15
lin,200,1.089503881620257,5,100,1,15
tanh,200,1.0389508625201107,5,100,1,15
rbf_l2,200,1.0415344031625673,5,100,1,15
rbf_linf,200,1.062012839772947,5,100,1,15
sigm,33,1.1941645978722306,5,100,1,15
lin,33,1.162799797506778,5,100,1,15
tanh,33,1.1316679745003895,5,100,1,15
rbf_l2,33,1.1887445467353621,5,100,1,15
rbf_linf,33,1.159508839652952,5,100,1,15
sigm,50,1.1450493656620964,5,100,1,15
lin,50,1.1427638234424085,5,100,1,15
tanh,50,1.1335279975826906,5,100,1,15
rbf_l2,50,1.120198116772638,5,100,1,15
rbf_linf,50,1.1716380430140376,5,100,1,15
sigm,75,1.0998778351203031,5,100,1,15
lin,75,1.1120330556564604,5,100,1,15
tanh,75,1.08976431739035,5,100,1,15
rbf_l2,75,1.1009674618601817,5,100,1,15
rbf_linf,75,1.1049514896532977,5,100,1,15
sigm,100,1.086891277379931,5,100,1,15
lin,100,1.0886317314105203,5,100,1,15
tanh,100,1.0859616159518164,5,100,1,15
rbf_l2,100,1.0867833668028974,5,100,1,15
rbf_linf,100,1.0795706918290677,5,100,1,15
sigm,125,1.0647978425260998,5,100,1,15
lin,125,1.0806339477635103,5,100,1,15
tanh,125,1.0619678341111807,5,100,1,15
rbf_l2,125,1.075277105189215,5,100,1,15
rbf_linf,125,1.0852819201355324,5,100,1,15
sigm,150,1.060633341051331,5,100,1,15
lin,150,1.0872494340962544,5,100,1,15
tanh,150,1.0574745376389525,5,100,1,15
rbf_l2,150,1.068717009786891,5,100,1,15
rbf_linf,150,1.0726198033689969,5,100,1,15
sigm,175,1.0531840780978141,5,100,1,15
lin,175,1.089654001176327,5,100,1,15
tanh,175,1.0530030514939412,5,100,1,15
rbf_l2,175,1.0483056395540258,5,100,1,15
rbf_linf,175,1.1725857822762922,5,100,1,15
sigm,200,1.0388009124250863,5,100,1,15
lin,200,1.0842692363067736,5,100,1,15
tanh,200,1.051506794330102,5,100,1,15
rbf_l2,200,1.0512109684463193,5,100,1,15
rbf_linf,200,1.0523297228943778,5,100,1,15
sigm,33,1.1668853577605474,5,100,1,15
lin,33,1.1574326976463372,5,100,1,15
tanh,33,1.1286262253030463,5,100,1,15
rbf_l2,33,1.199758113832895,5,100,1,15
rbf_linf,33,1.1825186586157732,5,100,1,15
sigm,50,1.1349287625354383,5,100,1,15
lin,50,1.1292844677074716,5,100,1,15
tanh,50,1.1332295580118472,5,100,1,15
rbf_l2,50,1.1186850116071398,5,100,1,15
rbf_linf,50,1.1187656963061303,5,100,1,15
sigm,75,1.1171598883913982,5,100,1,15
lin,75,1.092700573455399,5,100,1,15
tanh,75,1.0929376546172735,5,100,1,15
rbf_l2,75,1.1053702863673716,5,100,1,15
rbf_linf,75,1.125143629731724,5,100,1,15
sigm,100,1.0811879446078836,5,100,1,15
lin,100,1.0894130495127647,5,100,1,15
tanh,100,1.0808571348191776,5,100,1,15
rbf_l2,100,1.0877520182751885,5,100,1,15
rbf_linf,100,1.0835806553439784,5,100,1,15
sigm,125,1.0811528803389927,5,100,1,15
lin,125,1.0900256289770094,5,100,1,15
tanh,125,1.0653133459545967,5,100,1,15
rbf_l2,125,1.068945202221515,5,100,1,15
rbf_linf,125,1.4208014321380127,5,100,1,15
sigm,150,1.059107100769544,5,100,1,15
lin,150,1.0855705163412557,5,100,1,15
tanh,150,1.055807340837567,5,100,1,15
rbf_l2,150,1.0442862487278504,5,100,1,15
rbf_linf,150,1.0657116956116424,5,100,1,15
sigm,175,1.0540588598481297,5,100,1,15
lin,175,1.0870995617419879,5,100,1,15
tanh,175,1.04672545848344,5,100,1,15
rbf_l2,175,1.0566472447804434,5,100,1,15
rbf_linf,175,1.0623988394900776,5,100,1,15
sigm,200,1.0460818368576668,5,100,1,15
lin,200,1.0906354045386486,5,100,1,15
tanh,200,1.0542161912835228,5,100,1,15
rbf_l2,200,1.0302886863562866,5,100,1,15
rbf_linf,200,1.0742041594406828,5,100,1,15
sigm,33,1.1633551475245085,7,100,1,15
lin,33,1.1548091383298018,7,100,1,15
tanh,33,1.12703655453923,7,100,1,15
rbf_l2,33,1.1804294055931592,7,100,1,15
rbf_linf,33,1.1704180952891128,7,100,1,15
sigm,50,1.1339634348705558,7,100,1,15
lin,50,1.1271898948050516,7,100,1,15
tanh,50,1.1210183714347886,7,100,1,15
rbf_l2,50,1.1122481940818494,7,100,1,15
rbf_linf,50,1.1280883216359787,7,100,1,15
sigm,75,1.1004547636947415,7,100,1,15
lin,75,1.0941371083916231,7,100,1,15
tanh,75,1.1022500690561718,7,100,1,15
rbf_l2,75,1.0998328994105628,7,100,1,15
rbf_linf,75,1.0981477930249623,7,100,1,15
sigm,100,1.078636897559015,7,100,1,15
lin,100,1.0867980059133238,7,100,1,15
tanh,100,1.080228834097901,7,100,1,15
rbf_l2,100,1.0947810189175122,7,100,1,15
rbf_linf,100,1.0764227373598803,7,100,1,15
sigm,125,1.0675453298921038,7,100,1,15
lin,125,1.088079392585946,7,100,1,15
tanh,125,1.0752566895201547,7,100,1,15
rbf_l2,125,1.0640562235736712,7,100,1,15
rbf_linf,125,1.0808848130018713,7,100,1,15
sigm,150,1.0480638911069926,7,100,1,15
lin,150,1.0869172647886223,7,100,1,15
tanh,150,1.0585039701907883,7,100,1,15
rbf_l2,150,1.053036131770613,7,100,1,15
rbf_linf,150,1.0829038357460543,7,100,1,15
sigm,175,1.0551822452895212,7,100,1,15
lin,175,1.0836698469454988,7,100,1,15
tanh,175,1.0433590672976247,7,100,1,15
rbf_l2,175,1.0465690976896262,7,100,1,15
rbf_linf,175,1.0785048658612264,7,100,1,15
sigm,200,1.0434714663316886,7,100,1,15
lin,200,1.0871986975023948,7,100,1,15
tanh,200,1.0552071247655435,7,100,1,15
rbf_l2,200,1.0501312162934133,7,100,1,15
rbf_linf,200,1.0631350209005668,7,100,1,15
sigm,33,1.1694116092259623,7,100,1,15
lin,33,1.161034267484678,7,100,1,15
tanh,33,1.1766963289825318,7,100,1,15
rbf_l2,33,1.1412848921874224,7,100,1,15
rbf_linf,33,1.1374560893226953,7,100,1,15
sigm,50,1.1051558794254404,7,100,1,15
lin,50,1.134067999944007,7,100,1,15
tanh,50,1.1210617123593511,7,100,1,15
rbf_l2,50,1.1252332371087628,7,100,1,15
rbf_linf,50,1.1220730796116993,7,100,1,15
sigm,75,1.1046636454131749,7,100,1,15
lin,75,1.0962742383432695,7,100,1,15
tanh,75,1.0908225581997815,7,100,1,15
rbf_l2,75,1.0979113355866117,7,100,1,15
rbf_linf,75,1.1393178448345398,7,100,1,15
sigm,100,1.0813598266769107,7,100,1,15
lin,100,1.0859031977088764,7,100,1,15
tanh,100,1.0716246199088237,7,100,1,15
rbf_l2,100,1.085622160275521,7,100,1,15
rbf_linf,100,1.0779169576677048,7,100,1,15
sigm,125,1.0579043718765402,7,100,1,15
lin,125,1.0865454409412618,7,100,1,15
tanh,125,1.0689977189567303,7,100,1,15
rbf_l2,125,1.076190088078261,7,100,1,15
rbf_linf,125,1.083627351128555,7,100,1,15
sigm,150,1.0541334061770626,7,100,1,15
lin,150,1.0854028060324736,7,100,1,15
tanh,150,1.0590432334331756,7,100,1,15
rbf_l2,150,1.06191380634234,7,100,1,15
rbf_linf,150,1.0752567384206837,7,100,1,15
sigm,175,1.0441244480138048,7,100,1,15
lin,175,1.0858626757889627,7,100,1,15
tanh,175,1.056212011608664,7,100,1,15
rbf_l2,175,1.0434787027474184,7,100,1,15
rbf_linf,175,1.0826298960459257,7,100,1,15
sigm,200,1.0471369666228407,7,100,1,15
lin,200,1.0918624743235843,7,100,1,15
tanh,200,1.0410209017168417,7,100,1,15
rbf_l2,200,1.0367135208201028,7,100,1,15
rbf_linf,200,1.0616938175380133,7,100,1,15
sigm,33,1.1758927457318595,7,100,1,15
lin,33,1.1583150881103166,7,100,1,15
tanh,33,1.1524176638305323,7,100,1,15
rbf_l2,33,1.1786967854565906,7,100,1,15
rbf_linf,33,1.1620547276396385,7,100,1,15
sigm,50,1.1364654358324864,7,100,1,15
lin,50,1.120751867050628,7,100,1,15
tanh,50,1.1248968046968366,7,100,1,15
rbf_l2,50,1.1293926419774052,7,100,1,15
rbf_linf,50,1.119009658623133,7,100,1,15
sigm,75,1.1017962968481463,7,100,1,15
lin,75,1.0944492688763492,7,100,1,15
tanh,75,1.0847795236488122,7,100,1,15
rbf_l2,75,1.113509459016882,7,100,1,15
rbf_linf,75,1.116434742447057,7,100,1,15
sigm,100,1.09535817925466,7,100,1,15
lin,100,1.0863040796667267,7,100,1,15
tanh,100,1.0794254895303783,7,100,1,15
rbf_l2,100,1.0841030627094363,7,100,1,15
rbf_linf,100,1.08262388567287,7,100,1,15
sigm,125,1.0625793797126781,7,100,1,15
lin,125,1.0885265086649247,7,100,1,15
tanh,125,1.0605949764162774,7,100,1,15
rbf_l2,125,1.06342306311693,7,100,1,15
rbf_linf,125,1.0975927183453822,7,100,1,15
sigm,150,1.0578962832328458,7,100,1,15
lin,150,1.0846980208128538,7,100,1,15
tanh,150,1.0564141702511871,7,100,1,15
rbf_l2,150,1.0628997016503514,7,100,1,15
rbf_linf,150,1.0671129230119347,7,100,1,15
sigm,175,1.0477772735612274,7,100,1,15
lin,175,1.0885576365017913,7,100,1,15
tanh,175,1.0496067789713184,7,100,1,15
rbf_l2,175,1.0465180206650904,7,100,1,15
rbf_linf,175,1.0862024431569683,7,100,1,15
sigm,200,1.039920554646599,7,100,1,15
lin,200,1.0807302754178538,7,100,1,15
tanh,200,1.0494546006599657,7,100,1,15
rbf_l2,200,1.0405789677703037,7,100,1,15
rbf_linf,200,1.057910367209581,7,100,1,15
sigm,33,1.1696849626218937,2,100,1,15
lin,33,1.1678795074251218,2,100,1,15
tanh,33,1.1834421373705473,2,100,1,15
rbf_l2,33,1.152749070743043,2,100,1,15
rbf_linf,33,1.1574854408962165,2,100,1,15
sigm,50,1.118103386577851,2,100,1,15
lin,50,1.142172810390025,2,100,1,15
tanh,50,1.1111040260052867,2,100,1,15
rbf_l2,50,1.1342056157756328,2,100,1,15
rbf_linf,50,1.1337110139268123,2,100,1,15
sigm,75,1.1050467973014526,2,100,1,15
lin,75,1.0981117220718852,2,100,1,15
tanh,75,1.0935552950759173,2,100,1,15
rbf_l2,75,1.103286387592418,2,100,1,15
rbf_linf,75,1.1137690165469247,2,100,1,15
sigm,100,1.0887466510606207,2,100,1,15
lin,100,1.087027573758667,2,100,1,15
tanh,100,1.084745480207069,2,100,1,15
rbf_l2,100,1.0882353897182822,2,100,1,15
rbf_linf,100,1.1001760121240525,2,100,1,15
sigm,125,1.0673922764283545,2,100,1,15
lin,125,1.0855211863503254,2,100,1,15
tanh,125,1.076140101165474,2,100,1,15
rbf_l2,125,1.0798277189480485,2,100,1,15
rbf_linf,125,1.097463343327224,2,100,1,15
