estimator,scoring_method,performance_mean,performance_std,vect__analyzer,vect__ngram_range,sgd__loss,vect__stop_words
SGDRegression,r2,0.48361048282185415,0.008418826093519355,word,"(1, 3)",squared_loss,N/A
SGDRegression,r2,-0.3370081509315349,0.016864964962118516,word,"(1, 3)",huber,N/A
SGDRegression,r2,0.5160408916071465,0.007383769688767157,char,"(1, 9)",squared_loss,Yes (n=232)
SGDRegression,r2,-0.3181274298829411,0.01666949050249488,char,"(1, 9)",huber,Yes (n=232)
