estimator,r2_performance_mean,r2_performance_std,analyzer,ngram_range,stop_words,tfidf__use_idf,sgd__loss,sgd__penalty,sgd__alpha,sgd__learning_rate
SGDRegression,0.0049450139618544275,0.0004103843869530096,char,"(1,9)",yes,True,squared_loss,l1,0.01,constant
SGDRegression,0.19849561816094533,0.00821568843049149,char,"(1,9)",yes,False,squared_loss,l1,0.01,constant
SGDRegression,0.3185445278068137,0.008272984866094955,char,"(1,9)",yes,True,squared_loss,l2,0.01,constant
SGDRegression,0.3746761498440519,0.007620143227428447,char,"(1,9)",yes,False,squared_loss,l2,0.01,constant
SGDRegression,0.1808535773138163,0.0036096705496391408,char,"(1,9)",yes,True,squared_loss,elasticnet,0.01,constant
SGDRegression,0.2903713877205515,0.0037240538193202464,char,"(1,9)",yes,False,squared_loss,elasticnet,0.01,constant
SGDRegression,-0.3103977759252162,0.016419156434984095,char,"(1,9)",yes,True,huber,l1,0.01,constant
SGDRegression,-0.3103702289878421,0.016442193123458338,char,"(1,9)",yes,False,huber,l1,0.01,constant
SGDRegression,-0.27024827394147855,0.016749886719603323,char,"(1,9)",yes,True,huber,l2,0.01,constant
SGDRegression,-0.15920515594814222,0.018959437488400583,char,"(1,9)",yes,False,huber,l2,0.01,constant
SGDRegression,-0.31076871226951364,0.016430517822152747,char,"(1,9)",yes,True,huber,elasticnet,0.01,constant
SGDRegression,-0.29992793578556887,0.016987611055377775,char,"(1,9)",yes,False,huber,elasticnet,0.01,constant
SGDRegression,0.0057498359015125235,0.0012789747281886673,char,"(1,9)",yes,True,squared_loss,l1,0.01,optimal
SGDRegression,0.18610680342247898,0.012190181394182532,char,"(1,9)",yes,False,squared_loss,l1,0.01,optimal
SGDRegression,0.31563011853048606,0.00879697312712651,char,"(1,9)",yes,True,squared_loss,l2,0.01,optimal
SGDRegression,0.3702445419027015,0.006830985039525757,char,"(1,9)",yes,False,squared_loss,l2,0.01,optimal
SGDRegression,0.17821167154930842,0.004321092375321281,char,"(1,9)",yes,True,squared_loss,elasticnet,0.01,optimal
SGDRegression,0.28383996074341206,0.004049519810607336,char,"(1,9)",yes,False,squared_loss,elasticnet,0.01,optimal
SGDRegression,-0.29860615646455674,0.016823003303060267,char,"(1,9)",yes,True,huber,l1,0.01,optimal
SGDRegression,-0.3000364632581532,0.0166386295446755,char,"(1,9)",yes,False,huber,l1,0.01,optimal
SGDRegression,-0.25966465986263587,0.018134677895044006,char,"(1,9)",yes,True,huber,l2,0.01,optimal
SGDRegression,-0.1523230058363283,0.01933020318239516,char,"(1,9)",yes,False,huber,l2,0.01,optimal
SGDRegression,-0.29931005230684243,0.016056251038095288,char,"(1,9)",yes,True,huber,elasticnet,0.01,optimal
SGDRegression,-0.29594948677774463,0.01952410173811598,char,"(1,9)",yes,False,huber,elasticnet,0.01,optimal
SGDRegression,0.34111397105922026,0.008320662421370218,char,"(1,9)",yes,True,squared_loss,l1,0.001,invscaling
SGDRegression,0.3990394987799566,0.006504435210009161,char,"(1,9)",yes,False,squared_loss,l1,0.001,invscaling
SGDRegression,0.4675958926125915,0.010454427500339798,char,"(1,9)",yes,True,squared_loss,l2,0.001,invscaling
SGDRegression,0.48038625583997263,0.008043392576339002,char,"(1,9)",yes,False,squared_loss,l2,0.001,invscaling
SGDRegression,0.42161768951723416,0.010928362630132102,char,"(1,9)",yes,True,squared_loss,elasticnet,0.001,invscaling
SGDRegression,0.45317401904111876,0.008094150443566978,char,"(1,9)",yes,False,squared_loss,elasticnet,0.001,invscaling
SGDRegression,-0.3452538207979076,0.016936496344970766,char,"(1,9)",yes,True,huber,l1,0.001,invscaling
SGDRegression,-0.29842650188299746,0.016805962270921584,char,"(1,9)",yes,False,huber,l1,0.001,invscaling
SGDRegression,-0.3217096458060074,0.01673230415322819,char,"(1,9)",yes,True,huber,l2,0.001,invscaling
SGDRegression,-0.2537649041595366,0.017219204138241427,char,"(1,9)",yes,False,huber,l2,0.001,invscaling
SGDRegression,-0.33610804565333324,0.016821867553945814,char,"(1,9)",yes,True,huber,elasticnet,0.001,invscaling
