text,predict,max_samples,fit_time,mae,rmse,r2
Visite_ZNS,RASS,25,0.010002374649047852,2.125177507841441,2.4600254715934318,-2.890394849142598
Visite_ZNS,RASS,25,0.0070018768310546875,1.1858840436380913,1.2284252557620727,-5.790628740473512
Visite_ZNS,RASS,25,0.009001731872558594,2.11357593820605,2.282262442531266,-0.11615468355473868
Visite_ZNS,RASS,25,0.009001970291137695,1.8937737972424917,2.0691629340704134,0.08254958977195392
Visite_ZNS,RASS,25,0.021004676818847656,1.5928822089544294,1.8281741796693496,-0.2533328117036371
Visite_ZNS,RASS,25,0.009001970291137695,2.8717441079675674,3.1697007388428444,-0.45843588652238476
Visite_ZNS,RASS,25,0.00800180435180664,1.9444250192225312,2.000791538217319,-17.014250507309114
Visite_ZNS,RASS,25,0.008002042770385742,2.561810361098089,2.666078416783638,0.2561422427912098
Visite_ZNS,RASS,25,0.009001970291137695,0.2313601608888999,0.24689329320223588,0.7256966579728965
Visite_ZNS,RASS,25,0.009001731872558594,1.1183354425461245,1.4865774489887091,-0.4206580433268574
Visite_ZNS,RASS,50,0.01600337028503418,1.2523620874991888,1.8182402685094223,0.09836427071930476
Visite_ZNS,RASS,50,0.016004323959350586,1.2925814657714345,1.5531452914661625,0.3215517916365127
Visite_ZNS,RASS,50,0.017003774642944336,1.4673294174643459,1.8823300863902277,0.16082897402187923
Visite_ZNS,RASS,50,0.016004085540771484,1.8054646354007404,2.1527058560436703,0.057462541834974123
Visite_ZNS,RASS,50,0.01600360870361328,1.5526673029779674,1.8618730960526915,-0.3564844709671091
Visite_ZNS,RASS,50,0.017003774642944336,1.7176878345566458,1.9027109169172214,0.29550747026586455
Visite_ZNS,RASS,50,0.01700425148010254,1.8632422802154762,2.0900099810365367,-0.02779805196055163
Visite_ZNS,RASS,50,0.017004013061523438,1.7581027498171806,1.9763401685359585,0.14779917197772918
Visite_ZNS,RASS,50,0.01600360870361328,0.28323727677076765,0.3672272299989391,0.4605766461892252
Visite_ZNS,RASS,50,0.018004417419433594,2.805468620982051,3.0976805229464004,-0.13259831606784744
Visite_ZNS,RASS,100,0.03500819206237793,1.8925380637550875,2.338110812868109,-0.08881570255617022
Visite_ZNS,RASS,100,0.03600811958312988,1.4567440522557806,1.7351946345449147,0.326755185645189
Visite_ZNS,RASS,100,0.03300762176513672,0.9850702967244437,1.1193864563711953,0.6264270195158474
