estimator,r2_performance_mean,r2_performance_std,vect__analyzer,vect__ngram_range,vect__preprocessor,vect__stop_words,svr__kernel,svr__C
SVR,0.6617819091731967,0.01491619727839193,char,"(1, 5)",N/A,N/A,rbf,1.0
SVR,0.6617819091731967,0.01491619727839193,char,"(1, 5)",N/A,Yes (n=232),rbf,1.0
SVR,0.6612111964208619,0.01743153550482416,char,"(1, 5)",clean_and_stem_text,N/A,rbf,1.0
SVR,0.6612111964208619,0.01743153550482416,char,"(1, 5)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,0.6480181815482189,0.016035578602965474,char,"(2, 6)",N/A,N/A,rbf,1.0
SVR,0.6480181815482189,0.016035578602965474,char,"(2, 6)",N/A,Yes (n=232),rbf,1.0
SVR,0.6491203511633834,0.018451682180317504,char,"(2, 6)",clean_and_stem_text,N/A,rbf,1.0
SVR,0.6491203511633834,0.018451682180317504,char,"(2, 6)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,0.6155619972030486,0.0151878138675567,char,"(4, 7)",N/A,N/A,rbf,1.0
SVR,0.6155619972030486,0.0151878138675567,char,"(4, 7)",N/A,Yes (n=232),rbf,1.0
SVR,0.6172869761601876,0.018056269848224536,char,"(4, 7)",clean_and_stem_text,N/A,rbf,1.0
SVR,0.6172869761601876,0.018056269848224536,char,"(4, 7)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,0.5915638670573274,0.015913160929372214,char,"(4, 9)",N/A,N/A,rbf,1.0
SVR,0.5915638670573274,0.015913160929372214,char,"(4, 9)",N/A,Yes (n=232),rbf,1.0
SVR,0.5909017429324445,0.01900321658088759,char,"(4, 9)",clean_and_stem_text,N/A,rbf,1.0
SVR,0.5909017429324445,0.01900321658088759,char,"(4, 9)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,0.5267626844072352,0.018769709268327998,char,"(5, 12)",N/A,N/A,rbf,1.0
SVR,0.5267626844072352,0.018769709268327998,char,"(5, 12)",N/A,Yes (n=232),rbf,1.0
SVR,0.5270205900857821,0.021507108540782933,char,"(5, 12)",clean_and_stem_text,N/A,rbf,1.0
SVR,0.5270205900857821,0.021507108540782933,char,"(5, 12)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,0.7045187331430669,0.010133160022660395,char,"(1, 5)",N/A,N/A,linear,1.0
SVR,0.7045187331430669,0.010133160022660395,char,"(1, 5)",N/A,Yes (n=232),linear,1.0
SVR,0.7022747888863289,0.013710041231654086,char,"(1, 5)",clean_and_stem_text,N/A,linear,1.0
SVR,0.7022747888863289,0.013710041231654086,char,"(1, 5)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,0.705777643270857,0.011451167374775079,char,"(2, 6)",N/A,N/A,linear,1.0
SVR,0.705777643270857,0.011451167374775079,char,"(2, 6)",N/A,Yes (n=232),linear,1.0
SVR,0.7054706472746993,0.014364316527667962,char,"(2, 6)",clean_and_stem_text,N/A,linear,1.0
SVR,0.7054706472746993,0.014364316527667962,char,"(2, 6)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,0.7001250822760252,0.012863322264137417,char,"(4, 7)",N/A,N/A,linear,1.0
SVR,0.7001250822760252,0.012863322264137417,char,"(4, 7)",N/A,Yes (n=232),linear,1.0
SVR,0.7022107314925445,0.014587362090203056,char,"(4, 7)",clean_and_stem_text,N/A,linear,1.0
SVR,0.7022107314925445,0.014587362090203056,char,"(4, 7)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,0.6977601300613612,0.013689252084701772,char,"(4, 9)",N/A,N/A,linear,1.0
SVR,0.6977601300613612,0.013689252084701772,char,"(4, 9)",N/A,Yes (n=232),linear,1.0
SVR,0.6991023124727562,0.015154616132230285,char,"(4, 9)",clean_and_stem_text,N/A,linear,1.0
SVR,0.6991023124727562,0.015154616132230285,char,"(4, 9)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,0.6821221643671885,0.014277973222900836,char,"(5, 12)",N/A,N/A,linear,1.0
