estimator,r2_performance_mean,r2_performance_std,vect__analyzer,vect__ngram_range,vect__preprocessor,vect__stop_words,svr__kernel,svr__C
SVR,0.3970741212724934,0.015626817057973273,char,"(1, 5)",N/A,N/A,rbf,1.0
SVR,0.3970741212724934,0.015626817057973273,char,"(1, 5)",N/A,Yes (n=232),rbf,1.0
SVR,0.4027340535900109,0.01637612454516114,char,"(1, 5)",clean_and_stem_text,N/A,rbf,1.0
SVR,0.4027340535900109,0.01637612454516114,char,"(1, 5)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,0.3733196558559495,0.013732467067174892,char,"(2, 6)",N/A,N/A,rbf,1.0
SVR,0.3733196558559495,0.013732467067174892,char,"(2, 6)",N/A,Yes (n=232),rbf,1.0
SVR,0.3796803815095468,0.013777015333290723,char,"(2, 6)",clean_and_stem_text,N/A,rbf,1.0
SVR,0.3796803815095468,0.013777015333290723,char,"(2, 6)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,0.3333159889172687,0.011498757976081173,char,"(4, 7)",N/A,N/A,rbf,1.0
SVR,0.3333159889172687,0.011498757976081173,char,"(4, 7)",N/A,Yes (n=232),rbf,1.0
SVR,0.3390357706656076,0.0109414325377973,char,"(4, 7)",clean_and_stem_text,N/A,rbf,1.0
SVR,0.3390357706656076,0.0109414325377973,char,"(4, 7)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,0.3036510257246802,0.013071851826573886,char,"(4, 9)",N/A,N/A,rbf,1.0
SVR,0.3036510257246802,0.013071851826573886,char,"(4, 9)",N/A,Yes (n=232),rbf,1.0
SVR,0.3093351440920415,0.012553148538641241,char,"(4, 9)",clean_and_stem_text,N/A,rbf,1.0
SVR,0.3093351440920415,0.012553148538641241,char,"(4, 9)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,0.24557164610416046,0.01697890576200447,char,"(5, 12)",N/A,N/A,rbf,1.0
SVR,0.24557164610416046,0.01697890576200447,char,"(5, 12)",N/A,Yes (n=232),rbf,1.0
SVR,0.25183024284641226,0.016867525400241567,char,"(5, 12)",clean_and_stem_text,N/A,rbf,1.0
SVR,0.25183024284641226,0.016867525400241567,char,"(5, 12)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,0.455925393519943,0.02634381194555435,char,"(1, 5)",N/A,N/A,linear,1.0
SVR,0.455925393519943,0.02634381194555435,char,"(1, 5)",N/A,Yes (n=232),linear,1.0
SVR,0.4570609788816625,0.030434165824063452,char,"(1, 5)",clean_and_stem_text,N/A,linear,1.0
SVR,0.4570609788816625,0.030434165824063452,char,"(1, 5)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,0.4652028456764941,0.026102124073105377,char,"(2, 6)",N/A,N/A,linear,1.0
SVR,0.4652028456764941,0.026102124073105377,char,"(2, 6)",N/A,Yes (n=232),linear,1.0
SVR,0.4674258633729492,0.029137482288998106,char,"(2, 6)",clean_and_stem_text,N/A,linear,1.0
SVR,0.4674258633729492,0.029137482288998106,char,"(2, 6)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,0.4632464667832995,0.024373343299868937,char,"(4, 7)",N/A,N/A,linear,1.0
SVR,0.4632464667832995,0.024373343299868937,char,"(4, 7)",N/A,Yes (n=232),linear,1.0
SVR,0.46396620866599025,0.02608646540179492,char,"(4, 7)",clean_and_stem_text,N/A,linear,1.0
SVR,0.46396620866599025,0.02608646540179492,char,"(4, 7)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,0.4583816437505194,0.02226857488221295,char,"(4, 9)",N/A,N/A,linear,1.0
SVR,0.4583816437505194,0.02226857488221295,char,"(4, 9)",N/A,Yes (n=232),linear,1.0
SVR,0.45673369103583417,0.023411883160048122,char,"(4, 9)",clean_and_stem_text,N/A,linear,1.0
SVR,0.45673369103583417,0.023411883160048122,char,"(4, 9)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,0.4310323683178797,0.016764572522938854,char,"(5, 12)",N/A,N/A,linear,1.0
SVR,0.4310323683178797,0.016764572522938854,char,"(5, 12)",N/A,Yes (n=232),linear,1.0
SVR,0.42572175749922714,0.01635229349466261,char,"(5, 12)",clean_and_stem_text,N/A,linear,1.0
SVR,0.42572175749922714,0.01635229349466261,char,"(5, 12)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,0.48072196209844603,0.02406950541932127,char,"(1, 5)",N/A,N/A,rbf,10.0
SVR,0.48072196209844603,0.02406950541932127,char,"(1, 5)",N/A,Yes (n=232),rbf,10.0
SVR,0.47915223439311827,0.028921991195774967,char,"(1, 5)",clean_and_stem_text,N/A,rbf,10.0
SVR,0.47915223439311827,0.028921991195774967,char,"(1, 5)",clean_and_stem_text,Yes (n=232),rbf,10.0
SVR,0.47569292385112566,0.020118829501674318,char,"(2, 6)",N/A,N/A,rbf,10.0
SVR,0.47569292385112566,0.020118829501674318,char,"(2, 6)",N/A,Yes (n=232),rbf,10.0
SVR,0.47352265102535374,0.02515236783196548,char,"(2, 6)",clean_and_stem_text,N/A,rbf,10.0
SVR,0.47352265102535374,0.02515236783196548,char,"(2, 6)",clean_and_stem_text,Yes (n=232),rbf,10.0
SVR,0.46271240068584,0.01686752790613988,char,"(4, 7)",N/A,N/A,rbf,10.0
SVR,0.46271240068584,0.01686752790613988,char,"(4, 7)",N/A,Yes (n=232),rbf,10.0
SVR,0.45967601780876155,0.021719766826553227,char,"(4, 7)",clean_and_stem_text,N/A,rbf,10.0
SVR,0.45967601780876155,0.021719766826553227,char,"(4, 7)",clean_and_stem_text,Yes (n=232),rbf,10.0
SVR,0.4532808615791558,0.015034813287286673,char,"(4, 9)",N/A,N/A,rbf,10.0
SVR,0.4532808615791558,0.015034813287286673,char,"(4, 9)",N/A,Yes (n=232),rbf,10.0
SVR,0.4492359696499915,0.019849027616240255,char,"(4, 9)",clean_and_stem_text,N/A,rbf,10.0
SVR,0.4492359696499915,0.019849027616240255,char,"(4, 9)",clean_and_stem_text,Yes (n=232),rbf,10.0
SVR,0.4229372087589116,0.01176863253245925,char,"(5, 12)",N/A,N/A,rbf,10.0
SVR,0.4229372087589116,0.01176863253245925,char,"(5, 12)",N/A,Yes (n=232),rbf,10.0
SVR,0.4176759331488822,0.015656433763625407,char,"(5, 12)",clean_and_stem_text,N/A,rbf,10.0
SVR,0.4176759331488822,0.015656433763625407,char,"(5, 12)",clean_and_stem_text,Yes (n=232),rbf,10.0
SVR,0.4416369813476025,0.035630226496149046,char,"(1, 5)",N/A,N/A,linear,10.0
SVR,0.4416369813476025,0.035630226496149046,char,"(1, 5)",N/A,Yes (n=232),linear,10.0
SVR,0.4313666408039275,0.04402317313122184,char,"(1, 5)",clean_and_stem_text,N/A,linear,10.0
SVR,0.4313666408039275,0.04402317313122184,char,"(1, 5)",clean_and_stem_text,Yes (n=232),linear,10.0
SVR,0.4647141267931268,0.03484736457886334,char,"(2, 6)",N/A,N/A,linear,10.0
SVR,0.4647141267931268,0.03484736457886334,char,"(2, 6)",N/A,Yes (n=232),linear,10.0
SVR,0.45501017934390503,0.042247926259421455,char,"(2, 6)",clean_and_stem_text,N/A,linear,10.0
SVR,0.45501017934390503,0.042247926259421455,char,"(2, 6)",clean_and_stem_text,Yes (n=232),linear,10.0
SVR,0.48287523304941227,0.03343107770960823,char,"(4, 7)",N/A,N/A,linear,10.0
SVR,0.48287523304941227,0.03343107770960823,char,"(4, 7)",N/A,Yes (n=232),linear,10.0
SVR,0.4734207918997765,0.04042235040681558,char,"(4, 7)",clean_and_stem_text,N/A,linear,10.0
SVR,0.4734207918997765,0.04042235040681558,char,"(4, 7)",clean_and_stem_text,Yes (n=232),linear,10.0
SVR,0.49341835055468375,0.033027380841372446,char,"(4, 9)",N/A,N/A,linear,10.0
SVR,0.49341835055468375,0.033027380841372446,char,"(4, 9)",N/A,Yes (n=232),linear,10.0
SVR,0.4831318960282582,0.04009642528891749,char,"(4, 9)",clean_and_stem_text,N/A,linear,10.0
SVR,0.4831318960282582,0.04009642528891749,char,"(4, 9)",clean_and_stem_text,Yes (n=232),linear,10.0
SVR,0.49300995395566555,0.028553269078025807,char,"(5, 12)",N/A,N/A,linear,10.0
SVR,0.49300995395566555,0.028553269078025807,char,"(5, 12)",N/A,Yes (n=232),linear,10.0
SVR,0.4790750841374723,0.03597659983897586,char,"(5, 12)",clean_and_stem_text,N/A,linear,10.0
SVR,0.4790750841374723,0.03597659983897586,char,"(5, 12)",clean_and_stem_text,Yes (n=232),linear,10.0
SVR,0.027320529804464443,0.03979958214054334,char,"(1, 5)",N/A,N/A,rbf,0.1
SVR,0.027320529804464443,0.03979958214054334,char,"(1, 5)",N/A,Yes (n=232),rbf,0.1
SVR,0.04093194205327173,0.037834326865638965,char,"(1, 5)",clean_and_stem_text,N/A,rbf,0.1
SVR,0.04093194205327173,0.037834326865638965,char,"(1, 5)",clean_and_stem_text,Yes (n=232),rbf,0.1
SVR,-0.005700247044321727,0.04594124248829883,char,"(2, 6)",N/A,N/A,rbf,0.1
SVR,-0.005700247044321727,0.04594124248829883,char,"(2, 6)",N/A,Yes (n=232),rbf,0.1
SVR,0.006670032822993499,0.0446150894828513,char,"(2, 6)",clean_and_stem_text,N/A,rbf,0.1
SVR,0.006670032822993499,0.0446150894828513,char,"(2, 6)",clean_and_stem_text,Yes (n=232),rbf,0.1
SVR,-0.04045158874318018,0.04871698737867516,char,"(4, 7)",N/A,N/A,rbf,0.1
SVR,-0.04045158874318018,0.04871698737867516,char,"(4, 7)",N/A,Yes (n=232),rbf,0.1
SVR,-0.03083023933804807,0.04879094589066574,char,"(4, 7)",clean_and_stem_text,N/A,rbf,0.1
SVR,-0.03083023933804807,0.04879094589066574,char,"(4, 7)",clean_and_stem_text,Yes (n=232),rbf,0.1
SVR,-0.06134308488789715,0.04799445720606371,char,"(4, 9)",N/A,N/A,rbf,0.1
SVR,-0.06134308488789715,0.04799445720606371,char,"(4, 9)",N/A,Yes (n=232),rbf,0.1
SVR,-0.05320999120097432,0.048457172247996005,char,"(4, 9)",clean_and_stem_text,N/A,rbf,0.1
SVR,-0.05320999120097432,0.048457172247996005,char,"(4, 9)",clean_and_stem_text,Yes (n=232),rbf,0.1
SVR,-0.08964669959036073,0.04660555849953517,char,"(5, 12)",N/A,N/A,rbf,0.1
SVR,-0.08964669959036073,0.04660555849953517,char,"(5, 12)",N/A,Yes (n=232),rbf,0.1
SVR,-0.08328562696341377,0.047238158514537575,char,"(5, 12)",clean_and_stem_text,N/A,rbf,0.1
SVR,-0.08328562696341377,0.047238158514537575,char,"(5, 12)",clean_and_stem_text,Yes (n=232),rbf,0.1
SVR,0.15510210613252967,0.025126916390262093,char,"(1, 5)",N/A,N/A,linear,0.1
SVR,0.15510210613252967,0.025126916390262093,char,"(1, 5)",N/A,Yes (n=232),linear,0.1
SVR,0.1659926130791363,0.023440064266826773,char,"(1, 5)",clean_and_stem_text,N/A,linear,0.1
SVR,0.1659926130791363,0.023440064266826773,char,"(1, 5)",clean_and_stem_text,Yes (n=232),linear,0.1
SVR,0.157196928483597,0.026036222817092423,char,"(2, 6)",N/A,N/A,linear,0.1
SVR,0.157196928483597,0.026036222817092423,char,"(2, 6)",N/A,Yes (n=232),linear,0.1
SVR,0.1682942745861817,0.024515443320019092,char,"(2, 6)",clean_and_stem_text,N/A,linear,0.1
SVR,0.1682942745861817,0.024515443320019092,char,"(2, 6)",clean_and_stem_text,Yes (n=232),linear,0.1
SVR,0.12154327137095047,0.028850075888633607,char,"(4, 7)",N/A,N/A,linear,0.1
SVR,0.12154327137095047,0.028850075888633607,char,"(4, 7)",N/A,Yes (n=232),linear,0.1
SVR,0.12981851016852186,0.027239404060925284,char,"(4, 7)",clean_and_stem_text,N/A,linear,0.1
SVR,0.12981851016852186,0.027239404060925284,char,"(4, 7)",clean_and_stem_text,Yes (n=232),linear,0.1
