estimator,neg_mean_absolute_error_performance_mean,neg_mean_absolute_error_performance_std,vect__analyzer,vect__ngram_range,vect__preprocessor,vect__stop_words,svr__kernel,svr__C
SVR,-2.061231454739686,0.06911704124184763,char,"(1, 5)",N/A,N/A,rbf,1.0
SVR,-2.061231454739686,0.06911704124184763,char,"(1, 5)",N/A,Yes (n=232),rbf,1.0
SVR,-2.048255321317946,0.06855811160794179,char,"(1, 5)",clean_and_stem_text,N/A,rbf,1.0
SVR,-2.048255321317946,0.06855811160794179,char,"(1, 5)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,-2.1171296865081644,0.06904851358082056,char,"(2, 6)",N/A,N/A,rbf,1.0
SVR,-2.1171296865081644,0.06904851358082056,char,"(2, 6)",N/A,Yes (n=232),rbf,1.0
SVR,-2.100230968853522,0.07216023411865244,char,"(2, 6)",clean_and_stem_text,N/A,rbf,1.0
SVR,-2.100230968853522,0.07216023411865244,char,"(2, 6)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,-2.2323256591411194,0.07240950598411776,char,"(4, 7)",N/A,N/A,rbf,1.0
SVR,-2.2323256591411194,0.07240950598411776,char,"(4, 7)",N/A,Yes (n=232),rbf,1.0
SVR,-2.2180942208794447,0.07989674418190919,char,"(4, 7)",clean_and_stem_text,N/A,rbf,1.0
SVR,-2.2180942208794447,0.07989674418190919,char,"(4, 7)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,-2.311979837869979,0.07620812519120679,char,"(4, 9)",N/A,N/A,rbf,1.0
SVR,-2.311979837869979,0.07620812519120679,char,"(4, 9)",N/A,Yes (n=232),rbf,1.0
SVR,-2.305121451759785,0.0841834901774432,char,"(4, 9)",clean_and_stem_text,N/A,rbf,1.0
SVR,-2.305121451759785,0.0841834901774432,char,"(4, 9)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,-2.484841596747155,0.09061896458310117,char,"(5, 12)",N/A,N/A,rbf,1.0
SVR,-2.484841596747155,0.09061896458310117,char,"(5, 12)",N/A,Yes (n=232),rbf,1.0
SVR,-2.4804234919136636,0.09149274732206635,char,"(5, 12)",clean_and_stem_text,N/A,rbf,1.0
SVR,-2.4804234919136636,0.09149274732206635,char,"(5, 12)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,-1.8727607712022007,0.05568324537404715,char,"(1, 5)",N/A,N/A,linear,1.0
SVR,-1.8727607712022007,0.05568324537404715,char,"(1, 5)",N/A,Yes (n=232),linear,1.0
SVR,-1.8687334429433924,0.06146872676663698,char,"(1, 5)",clean_and_stem_text,N/A,linear,1.0
SVR,-1.8687334429433924,0.06146872676663698,char,"(1, 5)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,-1.8666937216850066,0.05073653692497656,char,"(2, 6)",N/A,N/A,linear,1.0
SVR,-1.8666937216850066,0.05073653692497656,char,"(2, 6)",N/A,Yes (n=232),linear,1.0
SVR,-1.8564239053358507,0.05630189140890686,char,"(2, 6)",clean_and_stem_text,N/A,linear,1.0
SVR,-1.8564239053358507,0.05630189140890686,char,"(2, 6)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,-1.8931100807311498,0.046700708647920926,char,"(4, 7)",N/A,N/A,linear,1.0
SVR,-1.8931100807311498,0.046700708647920926,char,"(4, 7)",N/A,Yes (n=232),linear,1.0
SVR,-1.8724870767254942,0.05248593932612685,char,"(4, 7)",clean_and_stem_text,N/A,linear,1.0
SVR,-1.8724870767254942,0.05248593932612685,char,"(4, 7)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,-1.9069694164930393,0.040540447552360644,char,"(4, 9)",N/A,N/A,linear,1.0
SVR,-1.9069694164930393,0.040540447552360644,char,"(4, 9)",N/A,Yes (n=232),linear,1.0
SVR,-1.8834548597164775,0.04864650528018989,char,"(4, 9)",clean_and_stem_text,N/A,linear,1.0
SVR,-1.8834548597164775,0.04864650528018989,char,"(4, 9)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,-1.9702463278180211,0.040315800207566595,char,"(5, 12)",N/A,N/A,linear,1.0
SVR,-1.9702463278180211,0.040315800207566595,char,"(5, 12)",N/A,Yes (n=232),linear,1.0
SVR,-1.9539180421495246,0.047249173695111245,char,"(5, 12)",clean_and_stem_text,N/A,linear,1.0
SVR,-1.9539180421495246,0.047249173695111245,char,"(5, 12)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,-1.8004405469267677,0.07316672249638971,char,"(1, 5)",N/A,N/A,rbf,10.0
SVR,-1.8004405469267677,0.07316672249638971,char,"(1, 5)",N/A,Yes (n=232),rbf,10.0
SVR,-1.8114720702680898,0.07812761967189602,char,"(1, 5)",clean_and_stem_text,N/A,rbf,10.0
SVR,-1.8114720702680898,0.07812761967189602,char,"(1, 5)",clean_and_stem_text,Yes (n=232),rbf,10.0
SVR,-1.814327610307742,0.06908780875587099,char,"(2, 6)",N/A,N/A,rbf,10.0
SVR,-1.814327610307742,0.06908780875587099,char,"(2, 6)",N/A,Yes (n=232),rbf,10.0
SVR,-1.8228606964975385,0.07553754132807042,char,"(2, 6)",clean_and_stem_text,N/A,rbf,10.0
SVR,-1.8228606964975385,0.07553754132807042,char,"(2, 6)",clean_and_stem_text,Yes (n=232),rbf,10.0
SVR,-1.8495492114500682,0.06392728154475519,char,"(4, 7)",N/A,N/A,rbf,10.0
SVR,-1.8495492114500682,0.06392728154475519,char,"(4, 7)",N/A,Yes (n=232),rbf,10.0
SVR,-1.851643665045953,0.07417017389506958,char,"(4, 7)",clean_and_stem_text,N/A,rbf,10.0
SVR,-1.851643665045953,0.07417017389506958,char,"(4, 7)",clean_and_stem_text,Yes (n=232),rbf,10.0
SVR,-1.863916027261201,0.058834761344803255,char,"(4, 9)",N/A,N/A,rbf,10.0
SVR,-1.863916027261201,0.058834761344803255,char,"(4, 9)",N/A,Yes (n=232),rbf,10.0
SVR,-1.8692427244565721,0.0723333007494578,char,"(4, 9)",clean_and_stem_text,N/A,rbf,10.0
SVR,-1.8692427244565721,0.0723333007494578,char,"(4, 9)",clean_and_stem_text,Yes (n=232),rbf,10.0
SVR,-1.918952045364754,0.0531749995846937,char,"(5, 12)",N/A,N/A,rbf,10.0
SVR,-1.918952045364754,0.0531749995846937,char,"(5, 12)",N/A,Yes (n=232),rbf,10.0
