estimator,r2_performance_mean,r2_performance_std,vect__analyzer,vect__ngram_range,vect__preprocessor,vect__stop_words,svr__kernel,svr__C
SVR,0.5153903720700835,0.027191124545831315,char,"(1, 5)",N/A,N/A,rbf,1.0
SVR,0.5153903720700835,0.027191124545831315,char,"(1, 5)",N/A,Yes (n=232),rbf,1.0
SVR,0.5130664471251383,0.027116414434325855,char,"(1, 5)",clean_and_stem_text,N/A,rbf,1.0
SVR,0.5130664471251383,0.027116414434325855,char,"(1, 5)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,0.5074060748624988,0.027044566545079148,char,"(2, 6)",N/A,N/A,rbf,1.0
SVR,0.5074060748624988,0.027044566545079148,char,"(2, 6)",N/A,Yes (n=232),rbf,1.0
SVR,0.5074015393369729,0.026473399598007152,char,"(2, 6)",clean_and_stem_text,N/A,rbf,1.0
SVR,0.5074015393369729,0.026473399598007152,char,"(2, 6)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,0.4869536835135671,0.027020385552592726,char,"(4, 7)",N/A,N/A,rbf,1.0
SVR,0.4869536835135671,0.027020385552592726,char,"(4, 7)",N/A,Yes (n=232),rbf,1.0
SVR,0.48934435053937725,0.026425905341142045,char,"(4, 7)",clean_and_stem_text,N/A,rbf,1.0
SVR,0.48934435053937725,0.026425905341142045,char,"(4, 7)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,0.4748271938039569,0.027259401063847184,char,"(4, 9)",N/A,N/A,rbf,1.0
SVR,0.4748271938039569,0.027259401063847184,char,"(4, 9)",N/A,Yes (n=232),rbf,1.0
SVR,0.4764360368925595,0.025784812512033625,char,"(4, 9)",clean_and_stem_text,N/A,rbf,1.0
SVR,0.4764360368925595,0.025784812512033625,char,"(4, 9)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,0.44246025108283965,0.025139330273726314,char,"(5, 12)",N/A,N/A,rbf,1.0
SVR,0.44246025108283965,0.025139330273726314,char,"(5, 12)",N/A,Yes (n=232),rbf,1.0
SVR,0.44461074377771503,0.02138449752043855,char,"(5, 12)",clean_and_stem_text,N/A,rbf,1.0
SVR,0.44461074377771503,0.02138449752043855,char,"(5, 12)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,0.5325711004736876,0.033941472436066114,char,"(1, 5)",N/A,N/A,linear,1.0
SVR,0.5325711004736876,0.033941472436066114,char,"(1, 5)",N/A,Yes (n=232),linear,1.0
SVR,0.5268562446705387,0.03399192388943541,char,"(1, 5)",clean_and_stem_text,N/A,linear,1.0
