estimator,neg_mean_absolute_error_performance_mean,neg_mean_absolute_error_performance_std,vect__analyzer,vect__ngram_range,vect__preprocessor,vect__stop_words,svr__kernel,svr__C
SVR,-1.1314632556726028,0.03992759529892194,char,"(1, 5)",N/A,N/A,rbf,1.0
SVR,-1.1314632556726028,0.03992759529892194,char,"(1, 5)",N/A,Yes (n=232),rbf,1.0
SVR,-1.1336019078867356,0.0395610619162422,char,"(1, 5)",clean_and_stem_text,N/A,rbf,1.0
SVR,-1.1336019078867356,0.0395610619162422,char,"(1, 5)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,-1.1410192740548268,0.042767500535094136,char,"(2, 6)",N/A,N/A,rbf,1.0
SVR,-1.1410192740548268,0.042767500535094136,char,"(2, 6)",N/A,Yes (n=232),rbf,1.0
SVR,-1.1424845045364411,0.040258192393633985,char,"(2, 6)",clean_and_stem_text,N/A,rbf,1.0
SVR,-1.1424845045364411,0.040258192393633985,char,"(2, 6)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,-1.1682689291992534,0.04470873718619182,char,"(4, 7)",N/A,N/A,rbf,1.0
SVR,-1.1682689291992534,0.04470873718619182,char,"(4, 7)",N/A,Yes (n=232),rbf,1.0
SVR,-1.1682767765035107,0.0392626300861634,char,"(4, 7)",clean_and_stem_text,N/A,rbf,1.0
SVR,-1.1682767765035107,0.0392626300861634,char,"(4, 7)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,-1.182684823908054,0.045205400202362904,char,"(4, 9)",N/A,N/A,rbf,1.0
SVR,-1.182684823908054,0.045205400202362904,char,"(4, 9)",N/A,Yes (n=232),rbf,1.0
SVR,-1.1859464995082445,0.04112700575918284,char,"(4, 9)",clean_and_stem_text,N/A,rbf,1.0
SVR,-1.1859464995082445,0.04112700575918284,char,"(4, 9)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,-1.227284037409436,0.05031860929596374,char,"(5, 12)",N/A,N/A,rbf,1.0
SVR,-1.227284037409436,0.05031860929596374,char,"(5, 12)",N/A,Yes (n=232),rbf,1.0
SVR,-1.2305142403245513,0.046769093534933304,char,"(5, 12)",clean_and_stem_text,N/A,rbf,1.0
SVR,-1.2305142403245513,0.046769093534933304,char,"(5, 12)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,-1.1119069060033389,0.04083981851505832,char,"(1, 5)",N/A,N/A,linear,1.0
SVR,-1.1119069060033389,0.04083981851505832,char,"(1, 5)",N/A,Yes (n=232),linear,1.0
SVR,-1.1106065746101152,0.03956798925039608,char,"(1, 5)",clean_and_stem_text,N/A,linear,1.0
SVR,-1.1106065746101152,0.03956798925039608,char,"(1, 5)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,-1.1075606337026662,0.039864187542966084,char,"(2, 6)",N/A,N/A,linear,1.0
SVR,-1.1075606337026662,0.039864187542966084,char,"(2, 6)",N/A,Yes (n=232),linear,1.0
SVR,-1.1061524966551126,0.038862091808042114,char,"(2, 6)",clean_and_stem_text,N/A,linear,1.0
SVR,-1.1061524966551126,0.038862091808042114,char,"(2, 6)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,-1.1092165622023515,0.040634969791792146,char,"(4, 7)",N/A,N/A,linear,1.0
SVR,-1.1092165622023515,0.040634969791792146,char,"(4, 7)",N/A,Yes (n=232),linear,1.0
SVR,-1.109046679886232,0.03419808590999015,char,"(4, 7)",clean_and_stem_text,N/A,linear,1.0
SVR,-1.109046679886232,0.03419808590999015,char,"(4, 7)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,-1.1047090217804603,0.04004363573030456,char,"(4, 9)",N/A,N/A,linear,1.0
SVR,-1.1047090217804603,0.04004363573030456,char,"(4, 9)",N/A,Yes (n=232),linear,1.0
SVR,-1.1061801830118714,0.033926436891075176,char,"(4, 9)",clean_and_stem_text,N/A,linear,1.0
SVR,-1.1061801830118714,0.033926436891075176,char,"(4, 9)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,-1.1137287555490794,0.040621828061525624,char,"(5, 12)",N/A,N/A,linear,1.0
SVR,-1.1137287555490794,0.040621828061525624,char,"(5, 12)",N/A,Yes (n=232),linear,1.0
SVR,-1.119261140039592,0.03558695286305691,char,"(5, 12)",clean_and_stem_text,N/A,linear,1.0
SVR,-1.119261140039592,0.03558695286305691,char,"(5, 12)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,-1.100735218122883,0.050444448270545755,char,"(1, 5)",N/A,N/A,rbf,10.0
