estimator,neg_mean_absolute_error_performance_mean,neg_mean_absolute_error_performance_std,vect__analyzer,vect__ngram_range,vect__preprocessor,vect__stop_words,svr__kernel,svr__C
SVR,-1.2612230161207751,0.041636211017359696,char,"(1, 5)",N/A,N/A,rbf,1.0
SVR,-1.2612230161207751,0.041636211017359696,char,"(1, 5)",N/A,Yes (n=232),rbf,1.0
SVR,-1.2581893151996166,0.04002233796214999,char,"(1, 5)",clean_and_stem_text,N/A,rbf,1.0
SVR,-1.2581893151996166,0.04002233796214999,char,"(1, 5)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,-1.2844776636627744,0.038876599215843285,char,"(2, 6)",N/A,N/A,rbf,1.0
SVR,-1.2844776636627744,0.038876599215843285,char,"(2, 6)",N/A,Yes (n=232),rbf,1.0
SVR,-1.2805520977031237,0.03673983741360813,char,"(2, 6)",clean_and_stem_text,N/A,rbf,1.0
SVR,-1.2805520977031237,0.03673983741360813,char,"(2, 6)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,-1.3198017157731945,0.03710436649293552,char,"(4, 7)",N/A,N/A,rbf,1.0
SVR,-1.3198017157731945,0.03710436649293552,char,"(4, 7)",N/A,Yes (n=232),rbf,1.0
SVR,-1.316976460769641,0.03439118410484929,char,"(4, 7)",clean_and_stem_text,N/A,rbf,1.0
SVR,-1.316976460769641,0.03439118410484929,char,"(4, 7)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,-1.3455143341207312,0.03806649913842614,char,"(4, 9)",N/A,N/A,rbf,1.0
SVR,-1.3455143341207312,0.03806649913842614,char,"(4, 9)",N/A,Yes (n=232),rbf,1.0
SVR,-1.3407560263280225,0.035079109643291986,char,"(4, 9)",clean_and_stem_text,N/A,rbf,1.0
SVR,-1.3407560263280225,0.035079109643291986,char,"(4, 9)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,-1.4004749871041178,0.03838221600338259,char,"(5, 12)",N/A,N/A,rbf,1.0
SVR,-1.4004749871041178,0.03838221600338259,char,"(5, 12)",N/A,Yes (n=232),rbf,1.0
SVR,-1.392118839971327,0.03538619072723807,char,"(5, 12)",clean_and_stem_text,N/A,rbf,1.0
SVR,-1.392118839971327,0.03538619072723807,char,"(5, 12)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,-1.1880979186046177,0.049587006456893824,char,"(1, 5)",N/A,N/A,linear,1.0
SVR,-1.1880979186046177,0.049587006456893824,char,"(1, 5)",N/A,Yes (n=232),linear,1.0
SVR,-1.1960611722978398,0.04928856739316539,char,"(1, 5)",clean_and_stem_text,N/A,linear,1.0
SVR,-1.1960611722978398,0.04928856739316539,char,"(1, 5)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,-1.1752814024200902,0.051739923593109326,char,"(2, 6)",N/A,N/A,linear,1.0
SVR,-1.1752814024200902,0.051739923593109326,char,"(2, 6)",N/A,Yes (n=232),linear,1.0
SVR,-1.1823339248590692,0.049135835344671926,char,"(2, 6)",clean_and_stem_text,N/A,linear,1.0
SVR,-1.1823339248590692,0.049135835344671926,char,"(2, 6)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,-1.1760872538038059,0.0519861440660153,char,"(4, 7)",N/A,N/A,linear,1.0
SVR,-1.1760872538038059,0.0519861440660153,char,"(4, 7)",N/A,Yes (n=232),linear,1.0
SVR,-1.1827489961529387,0.04777371170662399,char,"(4, 7)",clean_and_stem_text,N/A,linear,1.0
SVR,-1.1827489961529387,0.04777371170662399,char,"(4, 7)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,-1.1797954021612498,0.050345000711575424,char,"(4, 9)",N/A,N/A,linear,1.0
SVR,-1.1797954021612498,0.050345000711575424,char,"(4, 9)",N/A,Yes (n=232),linear,1.0
SVR,-1.1862896296997298,0.04662360106804851,char,"(4, 9)",clean_and_stem_text,N/A,linear,1.0
SVR,-1.1862896296997298,0.04662360106804851,char,"(4, 9)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,-1.2071636350964767,0.045310281129671504,char,"(5, 12)",N/A,N/A,linear,1.0
SVR,-1.2071636350964767,0.045310281129671504,char,"(5, 12)",N/A,Yes (n=232),linear,1.0
SVR,-1.2146276509239884,0.04134142166500471,char,"(5, 12)",clean_and_stem_text,N/A,linear,1.0
SVR,-1.2146276509239884,0.04134142166500471,char,"(5, 12)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,-1.1884990036218184,0.048574870020299685,char,"(1, 5)",N/A,N/A,rbf,10.0
SVR,-1.1884990036218184,0.048574870020299685,char,"(1, 5)",N/A,Yes (n=232),rbf,10.0
SVR,-1.19191251945343,0.049293716288033064,char,"(1, 5)",clean_and_stem_text,N/A,rbf,10.0
SVR,-1.19191251945343,0.049293716288033064,char,"(1, 5)",clean_and_stem_text,Yes (n=232),rbf,10.0
SVR,-1.1947299340483082,0.04645153077448954,char,"(2, 6)",N/A,N/A,rbf,10.0
SVR,-1.1947299340483082,0.04645153077448954,char,"(2, 6)",N/A,Yes (n=232),rbf,10.0
SVR,-1.1977155806728486,0.04621917655933468,char,"(2, 6)",clean_and_stem_text,N/A,rbf,10.0
SVR,-1.1977155806728486,0.04621917655933468,char,"(2, 6)",clean_and_stem_text,Yes (n=232),rbf,10.0
SVR,-1.2069633946765186,0.04515689955700397,char,"(4, 7)",N/A,N/A,rbf,10.0
SVR,-1.2069633946765186,0.04515689955700397,char,"(4, 7)",N/A,Yes (n=232),rbf,10.0
SVR,-1.2110257921852081,0.04469102951029622,char,"(4, 7)",clean_and_stem_text,N/A,rbf,10.0
SVR,-1.2110257921852081,0.04469102951029622,char,"(4, 7)",clean_and_stem_text,Yes (n=232),rbf,10.0
SVR,-1.2154514944381747,0.04363081335635168,char,"(4, 9)",N/A,N/A,rbf,10.0
SVR,-1.2154514944381747,0.04363081335635168,char,"(4, 9)",N/A,Yes (n=232),rbf,10.0
SVR,-1.2195399093905264,0.04407991293997356,char,"(4, 9)",clean_and_stem_text,N/A,rbf,10.0
SVR,-1.2195399093905264,0.04407991293997356,char,"(4, 9)",clean_and_stem_text,Yes (n=232),rbf,10.0
SVR,-1.2487315468367577,0.041394901335217615,char,"(5, 12)",N/A,N/A,rbf,10.0
SVR,-1.2487315468367577,0.041394901335217615,char,"(5, 12)",N/A,Yes (n=232),rbf,10.0
SVR,-1.2501581399927322,0.03976515186620743,char,"(5, 12)",clean_and_stem_text,N/A,rbf,10.0
SVR,-1.2501581399927322,0.03976515186620743,char,"(5, 12)",clean_and_stem_text,Yes (n=232),rbf,10.0
SVR,-1.2315865529441667,0.056494891644220814,char,"(1, 5)",N/A,N/A,linear,10.0
SVR,-1.2315865529441667,0.056494891644220814,char,"(1, 5)",N/A,Yes (n=232),linear,10.0
SVR,-1.2571919976836132,0.03115101808743221,char,"(1, 5)",clean_and_stem_text,N/A,linear,10.0
SVR,-1.2571919976836132,0.03115101808743221,char,"(1, 5)",clean_and_stem_text,Yes (n=232),linear,10.0
SVR,-1.201176050943179,0.06098283896700339,char,"(2, 6)",N/A,N/A,linear,10.0
SVR,-1.201176050943179,0.06098283896700339,char,"(2, 6)",N/A,Yes (n=232),linear,10.0
SVR,-1.2224283536753584,0.04046678621425952,char,"(2, 6)",clean_and_stem_text,N/A,linear,10.0
SVR,-1.2224283536753584,0.04046678621425952,char,"(2, 6)",clean_and_stem_text,Yes (n=232),linear,10.0
SVR,-1.176279225116923,0.06439372476451909,char,"(4, 7)",N/A,N/A,linear,10.0
SVR,-1.176279225116923,0.06439372476451909,char,"(4, 7)",N/A,Yes (n=232),linear,10.0
SVR,-1.194709975601483,0.04993539437749955,char,"(4, 7)",clean_and_stem_text,N/A,linear,10.0
SVR,-1.194709975601483,0.04993539437749955,char,"(4, 7)",clean_and_stem_text,Yes (n=232),linear,10.0
SVR,-1.1611377096490485,0.06447121402416843,char,"(4, 9)",N/A,N/A,linear,10.0
SVR,-1.1611377096490485,0.06447121402416843,char,"(4, 9)",N/A,Yes (n=232),linear,10.0
SVR,-1.175422598201156,0.05563454651276094,char,"(4, 9)",clean_and_stem_text,N/A,linear,10.0
SVR,-1.175422598201156,0.05563454651276094,char,"(4, 9)",clean_and_stem_text,Yes (n=232),linear,10.0
SVR,-1.1586616593351904,0.06174462591818209,char,"(5, 12)",N/A,N/A,linear,10.0
SVR,-1.1586616593351904,0.06174462591818209,char,"(5, 12)",N/A,Yes (n=232),linear,10.0
SVR,-1.169694410011791,0.05514981499146936,char,"(5, 12)",clean_and_stem_text,N/A,linear,10.0
SVR,-1.169694410011791,0.05514981499146936,char,"(5, 12)",clean_and_stem_text,Yes (n=232),linear,10.0
SVR,-1.5586848484499547,0.0365694150047419,char,"(1, 5)",N/A,N/A,rbf,0.1
SVR,-1.5586848484499547,0.0365694150047419,char,"(1, 5)",N/A,Yes (n=232),rbf,0.1
SVR,-1.5503200792866494,0.0362613075865662,char,"(1, 5)",clean_and_stem_text,N/A,rbf,0.1
SVR,-1.5503200792866494,0.0362613075865662,char,"(1, 5)",clean_and_stem_text,Yes (n=232),rbf,0.1
SVR,-1.5778736897573302,0.03671758500492887,char,"(2, 6)",N/A,N/A,rbf,0.1
SVR,-1.5778736897573302,0.03671758500492887,char,"(2, 6)",N/A,Yes (n=232),rbf,0.1
SVR,-1.571605416432097,0.036364857333811805,char,"(2, 6)",clean_and_stem_text,N/A,rbf,0.1
SVR,-1.571605416432097,0.036364857333811805,char,"(2, 6)",clean_and_stem_text,Yes (n=232),rbf,0.1
SVR,-1.5952951957032586,0.03675376826563328,char,"(4, 7)",N/A,N/A,rbf,0.1
SVR,-1.5952951957032586,0.03675376826563328,char,"(4, 7)",N/A,Yes (n=232),rbf,0.1
SVR,-1.591521388188965,0.0364472890584233,char,"(4, 7)",clean_and_stem_text,N/A,rbf,0.1
SVR,-1.591521388188965,0.0364472890584233,char,"(4, 7)",clean_and_stem_text,Yes (n=232),rbf,0.1
SVR,-1.604296094502962,0.03711680346338768,char,"(4, 9)",N/A,N/A,rbf,0.1
SVR,-1.604296094502962,0.03711680346338768,char,"(4, 9)",N/A,Yes (n=232),rbf,0.1
SVR,-1.6010880729294261,0.0368758321047686,char,"(4, 9)",clean_and_stem_text,N/A,rbf,0.1
SVR,-1.6010880729294261,0.0368758321047686,char,"(4, 9)",clean_and_stem_text,Yes (n=232),rbf,0.1
SVR,-1.617308620052779,0.03775952731430229,char,"(5, 12)",N/A,N/A,rbf,0.1
SVR,-1.617308620052779,0.03775952731430229,char,"(5, 12)",N/A,Yes (n=232),rbf,0.1
SVR,-1.614657318164305,0.037526667353425004,char,"(5, 12)",clean_and_stem_text,N/A,rbf,0.1
SVR,-1.614657318164305,0.037526667353425004,char,"(5, 12)",clean_and_stem_text,Yes (n=232),rbf,0.1
SVR,-1.4596338083374147,0.03826065236914502,char,"(1, 5)",N/A,N/A,linear,0.1
SVR,-1.4596338083374147,0.03826065236914502,char,"(1, 5)",N/A,Yes (n=232),linear,0.1
SVR,-1.4500996061924036,0.037795120755768505,char,"(1, 5)",clean_and_stem_text,N/A,linear,0.1
SVR,-1.4500996061924036,0.037795120755768505,char,"(1, 5)",clean_and_stem_text,Yes (n=232),linear,0.1
SVR,-1.457756243337084,0.03757237334131426,char,"(2, 6)",N/A,N/A,linear,0.1
SVR,-1.457756243337084,0.03757237334131426,char,"(2, 6)",N/A,Yes (n=232),linear,0.1
SVR,-1.4479885896918954,0.03632469598990123,char,"(2, 6)",clean_and_stem_text,N/A,linear,0.1
SVR,-1.4479885896918954,0.03632469598990123,char,"(2, 6)",clean_and_stem_text,Yes (n=232),linear,0.1
SVR,-1.484318230771196,0.03761167880155716,char,"(4, 7)",N/A,N/A,linear,0.1
SVR,-1.484318230771196,0.03761167880155716,char,"(4, 7)",N/A,Yes (n=232),linear,0.1
SVR,-1.4773752495920238,0.036571171451451265,char,"(4, 7)",clean_and_stem_text,N/A,linear,0.1
SVR,-1.4773752495920238,0.036571171451451265,char,"(4, 7)",clean_and_stem_text,Yes (n=232),linear,0.1
SVR,-1.5037547300828709,0.03751244644474678,char,"(4, 9)",N/A,N/A,linear,0.1
SVR,-1.5037547300828709,0.03751244644474678,char,"(4, 9)",N/A,Yes (n=232),linear,0.1
SVR,-1.4973228955062288,0.036699266313087495,char,"(4, 9)",clean_and_stem_text,N/A,linear,0.1
SVR,-1.4973228955062288,0.036699266313087495,char,"(4, 9)",clean_and_stem_text,Yes (n=232),linear,0.1
SVR,-1.5375783387327453,0.03726501978237051,char,"(5, 12)",N/A,N/A,linear,0.1
SVR,-1.5375783387327453,0.03726501978237051,char,"(5, 12)",N/A,Yes (n=232),linear,0.1
SVR,-1.5314978186803463,0.036444405984467264,char,"(5, 12)",clean_and_stem_text,N/A,linear,0.1
SVR,-1.5314978186803463,0.036444405984467264,char,"(5, 12)",clean_and_stem_text,Yes (n=232),linear,0.1
SVR,-1.6514282890223935,0.03929048672722245,char,"(1, 5)",N/A,N/A,rbf,0.001
SVR,-1.6514282890223935,0.03929048672722245,char,"(1, 5)",N/A,Yes (n=232),rbf,0.001
SVR,-1.6513332126681992,0.03927637437123157,char,"(1, 5)",clean_and_stem_text,N/A,rbf,0.001
SVR,-1.6513332126681992,0.03927637437123157,char,"(1, 5)",clean_and_stem_text,Yes (n=232),rbf,0.001
SVR,-1.6516340092108948,0.03931140227989821,char,"(2, 6)",N/A,N/A,rbf,0.001
SVR,-1.6516340092108948,0.03931140227989821,char,"(2, 6)",N/A,Yes (n=232),rbf,0.001
SVR,-1.6515682916730328,0.03930177620088599,char,"(2, 6)",clean_and_stem_text,N/A,rbf,0.001
SVR,-1.6515682916730328,0.03930177620088599,char,"(2, 6)",clean_and_stem_text,Yes (n=232),rbf,0.001
SVR,-1.6518164348595188,0.039317706633229935,char,"(4, 7)",N/A,N/A,rbf,0.001
SVR,-1.6518164348595188,0.039317706633229935,char,"(4, 7)",N/A,Yes (n=232),rbf,0.001
SVR,-1.6517746017623651,0.03931042633573015,char,"(4, 7)",clean_and_stem_text,N/A,rbf,0.001
SVR,-1.6517746017623651,0.03931042633573015,char,"(4, 7)",clean_and_stem_text,Yes (n=232),rbf,0.001
SVR,-1.6519106659869192,0.03932364246739918,char,"(4, 9)",N/A,N/A,rbf,0.001
SVR,-1.6519106659869192,0.03932364246739918,char,"(4, 9)",N/A,Yes (n=232),rbf,0.001
SVR,-1.6518767209840193,0.03931791110121409,char,"(4, 9)",clean_and_stem_text,N/A,rbf,0.001
SVR,-1.6518767209840193,0.03931791110121409,char,"(4, 9)",clean_and_stem_text,Yes (n=232),rbf,0.001
SVR,-1.6520411505958617,0.03933354446399187,char,"(5, 12)",N/A,N/A,rbf,0.001
SVR,-1.6520411505958617,0.03933354446399187,char,"(5, 12)",N/A,Yes (n=232),rbf,0.001
SVR,-1.6520153456076954,0.039329737628035065,char,"(5, 12)",clean_and_stem_text,N/A,rbf,0.001
SVR,-1.6520153456076954,0.039329737628035065,char,"(5, 12)",clean_and_stem_text,Yes (n=232),rbf,0.001
SVR,-1.649947738326049,0.039196046967988854,char,"(1, 5)",N/A,N/A,linear,0.001
SVR,-1.649947738326049,0.039196046967988854,char,"(1, 5)",N/A,Yes (n=232),linear,0.001
SVR,-1.6497353665166359,0.03917539638644699,char,"(1, 5)",clean_and_stem_text,N/A,linear,0.001
SVR,-1.6497353665166359,0.03917539638644699,char,"(1, 5)",clean_and_stem_text,Yes (n=232),linear,0.001
SVR,-1.649974010232573,0.039211480957951995,char,"(2, 6)",N/A,N/A,linear,0.001
SVR,-1.649974010232573,0.039211480957951995,char,"(2, 6)",N/A,Yes (n=232),linear,0.001
SVR,-1.6497832491622735,0.03918840023366618,char,"(2, 6)",clean_and_stem_text,N/A,linear,0.001
SVR,-1.6497832491622735,0.03918840023366618,char,"(2, 6)",clean_and_stem_text,Yes (n=232),linear,0.001
SVR,-1.6504320836459332,0.039242438621420794,char,"(4, 7)",N/A,N/A,linear,0.001
SVR,-1.6504320836459332,0.039242438621420794,char,"(4, 7)",N/A,Yes (n=232),linear,0.001
SVR,-1.650298039330897,0.03922330269565102,char,"(4, 7)",clean_and_stem_text,N/A,linear,0.001
SVR,-1.650298039330897,0.03922330269565102,char,"(4, 7)",clean_and_stem_text,Yes (n=232),linear,0.001
SVR,-1.650742114927039,0.03926512423097577,char,"(4, 9)",N/A,N/A,linear,0.001
SVR,-1.650742114927039,0.03926512423097577,char,"(4, 9)",N/A,Yes (n=232),linear,0.001
SVR,-1.6506262120070176,0.039252338203557044,char,"(4, 9)",clean_and_stem_text,N/A,linear,0.001
SVR,-1.6506262120070176,0.039252338203557044,char,"(4, 9)",clean_and_stem_text,Yes (n=232),linear,0.001
SVR,-1.6511839093874685,0.0392937422721401,char,"(5, 12)",N/A,N/A,linear,0.001
SVR,-1.6511839093874685,0.0392937422721401,char,"(5, 12)",N/A,Yes (n=232),linear,0.001
SVR,-1.6510858123184093,0.03928700471156298,char,"(5, 12)",clean_and_stem_text,N/A,linear,0.001
SVR,-1.6510858123184093,0.03928700471156298,char,"(5, 12)",clean_and_stem_text,Yes (n=232),linear,0.001
SVR,-1.245856585726815,0.04232194326518291,char_wb,"(2, 6)",N/A,N/A,rbf,1.0
SVR,-1.245856585726815,0.04232194326518291,char_wb,"(2, 6)",N/A,Yes (n=232),rbf,1.0
SVR,-1.2336543824932562,0.042254528378479,char_wb,"(2, 6)",clean_and_stem_text,N/A,rbf,1.0
SVR,-1.2336543824932562,0.042254528378479,char_wb,"(2, 6)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,-1.2718752241715017,0.03585084305924355,char_wb,"(4, 9)",N/A,N/A,rbf,1.0
SVR,-1.2718752241715017,0.03585084305924355,char_wb,"(4, 9)",N/A,Yes (n=232),rbf,1.0
SVR,-1.2559112988655916,0.03502766607528196,char_wb,"(4, 9)",clean_and_stem_text,N/A,rbf,1.0
SVR,-1.2559112988655916,0.03502766607528196,char_wb,"(4, 9)",clean_and_stem_text,Yes (n=232),rbf,1.0
SVR,-1.1894930417640637,0.057119353588804773,char_wb,"(2, 6)",N/A,N/A,linear,1.0
SVR,-1.1894930417640637,0.057119353588804773,char_wb,"(2, 6)",N/A,Yes (n=232),linear,1.0
SVR,-1.195206302743106,0.05407395156835342,char_wb,"(2, 6)",clean_and_stem_text,N/A,linear,1.0
SVR,-1.195206302743106,0.05407395156835342,char_wb,"(2, 6)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,-1.191661285661837,0.05556758907386745,char_wb,"(4, 9)",N/A,N/A,linear,1.0
SVR,-1.191661285661837,0.05556758907386745,char_wb,"(4, 9)",N/A,Yes (n=232),linear,1.0
SVR,-1.2041418233450103,0.04841871885489084,char_wb,"(4, 9)",clean_and_stem_text,N/A,linear,1.0
SVR,-1.2041418233450103,0.04841871885489084,char_wb,"(4, 9)",clean_and_stem_text,Yes (n=232),linear,1.0
SVR,-1.1878519320219363,0.05000069681756204,char_wb,"(2, 6)",N/A,N/A,rbf,10.0
SVR,-1.1878519320219363,0.05000069681756204,char_wb,"(2, 6)",N/A,Yes (n=232),rbf,10.0
SVR,-1.188923821128972,0.054371905629033275,char_wb,"(2, 6)",clean_and_stem_text,N/A,rbf,10.0
SVR,-1.188923821128972,0.054371905629033275,char_wb,"(2, 6)",clean_and_stem_text,Yes (n=232),rbf,10.0
SVR,-1.1978050115378187,0.04804033570972035,char_wb,"(4, 9)",N/A,N/A,rbf,10.0
SVR,-1.1978050115378187,0.04804033570972035,char_wb,"(4, 9)",N/A,Yes (n=232),rbf,10.0
SVR,-1.1981940196697807,0.049029190322250685,char_wb,"(4, 9)",clean_and_stem_text,N/A,rbf,10.0
SVR,-1.1981940196697807,0.049029190322250685,char_wb,"(4, 9)",clean_and_stem_text,Yes (n=232),rbf,10.0
SVR,-1.3211113843706075,0.04837919287719295,char_wb,"(2, 6)",N/A,N/A,linear,10.0
SVR,-1.3211113843706075,0.04837919287719295,char_wb,"(2, 6)",N/A,Yes (n=232),linear,10.0
SVR,-1.348273463912824,0.04733095853354604,char_wb,"(2, 6)",clean_and_stem_text,N/A,linear,10.0
SVR,-1.348273463912824,0.04733095853354604,char_wb,"(2, 6)",clean_and_stem_text,Yes (n=232),linear,10.0
SVR,-1.2973505643436647,0.04447303712738798,char_wb,"(4, 9)",N/A,N/A,linear,10.0
SVR,-1.2973505643436647,0.04447303712738798,char_wb,"(4, 9)",N/A,Yes (n=232),linear,10.0
SVR,-1.3488041955432275,0.05142096946263123,char_wb,"(4, 9)",clean_and_stem_text,N/A,linear,10.0
SVR,-1.3488041955432275,0.05142096946263123,char_wb,"(4, 9)",clean_and_stem_text,Yes (n=232),linear,10.0
SVR,-1.5486032940701107,0.03642951281761679,char_wb,"(2, 6)",N/A,N/A,rbf,0.1
SVR,-1.5486032940701107,0.03642951281761679,char_wb,"(2, 6)",N/A,Yes (n=232),rbf,0.1
SVR,-1.5295909273841124,0.03525227246642169,char_wb,"(2, 6)",clean_and_stem_text,N/A,rbf,0.1
SVR,-1.5295909273841124,0.03525227246642169,char_wb,"(2, 6)",clean_and_stem_text,Yes (n=232),rbf,0.1
SVR,-1.567471361901757,0.036521149570438956,char_wb,"(4, 9)",N/A,N/A,rbf,0.1
SVR,-1.567471361901757,0.036521149570438956,char_wb,"(4, 9)",N/A,Yes (n=232),rbf,0.1
SVR,-1.5468381766935133,0.034997566303649495,char_wb,"(4, 9)",clean_and_stem_text,N/A,rbf,0.1
SVR,-1.5468381766935133,0.034997566303649495,char_wb,"(4, 9)",clean_and_stem_text,Yes (n=232),rbf,0.1
SVR,-1.4175980008305005,0.03738495877496069,char_wb,"(2, 6)",N/A,N/A,linear,0.1
SVR,-1.4175980008305005,0.03738495877496069,char_wb,"(2, 6)",N/A,Yes (n=232),linear,0.1
SVR,-1.3964865729222855,0.03671707568314361,char_wb,"(2, 6)",clean_and_stem_text,N/A,linear,0.1
SVR,-1.3964865729222855,0.03671707568314361,char_wb,"(2, 6)",clean_and_stem_text,Yes (n=232),linear,0.1
SVR,-1.4372132245255673,0.03588587256399804,char_wb,"(4, 9)",N/A,N/A,linear,0.1
SVR,-1.4372132245255673,0.03588587256399804,char_wb,"(4, 9)",N/A,Yes (n=232),linear,0.1
SVR,-1.4105766966465507,0.0336277229527221,char_wb,"(4, 9)",clean_and_stem_text,N/A,linear,0.1
SVR,-1.4105766966465507,0.0336277229527221,char_wb,"(4, 9)",clean_and_stem_text,Yes (n=232),linear,0.1
SVR,-1.651307783908003,0.039286689386935573,char_wb,"(2, 6)",N/A,N/A,rbf,0.001
SVR,-1.651307783908003,0.039286689386935573,char_wb,"(2, 6)",N/A,Yes (n=232),rbf,0.001
SVR,-1.6510841247905603,0.03925876019318517,char_wb,"(2, 6)",clean_and_stem_text,N/A,rbf,0.001
SVR,-1.6510841247905603,0.03925876019318517,char_wb,"(2, 6)",clean_and_stem_text,Yes (n=232),rbf,0.001
SVR,-1.6515263727354188,0.03930036940115853,char_wb,"(4, 9)",N/A,N/A,rbf,0.001
SVR,-1.6515263727354188,0.03930036940115853,char_wb,"(4, 9)",N/A,Yes (n=232),rbf,0.001
SVR,-1.6512870414350949,0.03927006831387099,char_wb,"(4, 9)",clean_and_stem_text,N/A,rbf,0.001
SVR,-1.6512870414350949,0.03927006831387099,char_wb,"(4, 9)",clean_and_stem_text,Yes (n=232),rbf,0.001
SVR,-1.6491520866151306,0.03915005091672574,char_wb,"(2, 6)",N/A,N/A,linear,0.001
SVR,-1.6491520866151306,0.03915005091672574,char_wb,"(2, 6)",N/A,Yes (n=232),linear,0.001
SVR,-1.6486042228654132,0.03907950663964075,char_wb,"(2, 6)",clean_and_stem_text,N/A,linear,0.001
SVR,-1.6486042228654132,0.03907950663964075,char_wb,"(2, 6)",clean_and_stem_text,Yes (n=232),linear,0.001
SVR,-1.6495859448045949,0.03917631474113875,char_wb,"(4, 9)",N/A,N/A,linear,0.001
SVR,-1.6495859448045949,0.03917631474113875,char_wb,"(4, 9)",N/A,Yes (n=232),linear,0.001
SVR,-1.648908199523588,0.03910983422540538,char_wb,"(4, 9)",clean_and_stem_text,N/A,linear,0.001
SVR,-1.648908199523588,0.03910983422540538,char_wb,"(4, 9)",clean_and_stem_text,Yes (n=232),linear,0.001
