estimator,r2_performance_mean,r2_performance_std,svr__kernel,svr__gamma
SVR_0626,0.5089806254215885,0.024017498840917237,linear,N/A
SVR_0626,0.5841208789899248,0.019983488018462225,rbf,scale
SVR_0626,-0.02351606191985578,0.008004955371753658,rbf,auto
