estimator,r2_performance_mean,r2_performance_std,vect__analyzer,vect__ngram_range,vect__preprocessor,sgd__loss,sgd__penalty,sgd__alpha
SGDRegression,-0.24728465863803314,0.011517598714628624,char,"(1, 3)",N/A,huber,l1,1e-06
SGDRegression,-0.20270449276728808,0.007940914815404916,char,"(1, 3)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-0.677569923259556,0.022340335349442218,char,"(1, 5)",N/A,huber,l1,1e-06
SGDRegression,-0.6144938593313695,0.020475445081766606,char,"(1, 5)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-2.042357104605186,0.04044045477336411,char,"(1, 9)",N/A,huber,l1,1e-06
SGDRegression,-2.0090507026713182,0.039910846296109394,char,"(1, 9)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-2.504560613642069,0.04023233341561677,char,"(2, 6)",N/A,huber,l1,1e-06
SGDRegression,-2.390273892991723,0.03874523797113019,char,"(2, 6)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-4.491125312682706,0.05465640738481723,char,"(3, 7)",N/A,huber,l1,1e-06
SGDRegression,-4.337565128998422,0.05556442387633843,char,"(3, 7)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-5.223910822961036,0.06195224413151476,char,"(4, 9)",N/A,huber,l1,1e-06
SGDRegression,-5.208075954972596,0.06189011165274793,char,"(4, 9)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-0.12330542672536757,0.006730641968192281,char_wb,"(1, 3)",N/A,huber,l1,1e-06
SGDRegression,-0.08240902319847536,0.005200203178345537,char_wb,"(1, 3)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-0.2736519847436595,0.01310776486466042,char_wb,"(1, 5)",N/A,huber,l1,1e-06
SGDRegression,-0.1983870228776327,0.009930309437275528,char_wb,"(1, 5)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-0.46791320051743374,0.01965157346360791,char_wb,"(1, 9)",N/A,huber,l1,1e-06
SGDRegression,-0.3322729382561317,0.014473830953805944,char_wb,"(1, 9)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-1.7144917797933694,0.029555949316197445,char_wb,"(2, 6)",N/A,huber,l1,1e-06
SGDRegression,-1.3723900085632994,0.029030509834395427,char_wb,"(2, 6)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-2.809789792947579,0.0400328509885836,char_wb,"(3, 7)",N/A,huber,l1,1e-06
SGDRegression,-2.4770758837961395,0.037714308098875306,char_wb,"(3, 7)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-4.281513026109255,0.05067914086914146,char_wb,"(4, 9)",N/A,huber,l1,1e-06
SGDRegression,-3.490699651637528,0.04857949227907877,char_wb,"(4, 9)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-0.2470678728765166,0.011511833426469973,char,"(1, 3)",N/A,huber,l2,1e-06
SGDRegression,-0.20252586295392838,0.007959099926246223,char,"(1, 3)",clean_and_stem_text,huber,l2,1e-06
SGDRegression,-0.6756236686643557,0.02231968250022634,char,"(1, 5)",N/A,huber,l2,1e-06
SGDRegression,-0.612786638868511,0.020420811541066567,char,"(1, 5)",clean_and_stem_text,huber,l2,1e-06
SGDRegression,-2.0339715387948485,0.04037736581815222,char,"(1, 9)",N/A,huber,l2,1e-06
SGDRegression,-2.001152224753487,0.03982562450457885,char,"(1, 9)",clean_and_stem_text,huber,l2,1e-06
SGDRegression,-2.4953007056876486,0.040173996474998704,char,"(2, 6)",N/A,huber,l2,1e-06
SGDRegression,-2.383572557244535,0.0377016818716444,char,"(2, 6)",clean_and_stem_text,huber,l2,1e-06
SGDRegression,-4.45904837583585,0.056534552456591926,char,"(3, 7)",N/A,huber,l2,1e-06
SGDRegression,-4.303442539689227,0.053110396769916496,char,"(3, 7)",clean_and_stem_text,huber,l2,1e-06
SGDRegression,-5.210393963245019,0.06180750908450927,char,"(4, 9)",N/A,huber,l2,1e-06
SGDRegression,-5.194486419604886,0.061741786285183384,char,"(4, 9)",clean_and_stem_text,huber,l2,1e-06
SGDRegression,-0.12320533775461748,0.0067251769339095975,char_wb,"(1, 3)",N/A,huber,l2,1e-06
SGDRegression,-0.0823522146984113,0.005184012350839087,char_wb,"(1, 3)",clean_and_stem_text,huber,l2,1e-06
SGDRegression,-0.273161085502284,0.013064037283545507,char_wb,"(1, 5)",N/A,huber,l2,1e-06
SGDRegression,-0.19805416956785843,0.00992706113480424,char_wb,"(1, 5)",clean_and_stem_text,huber,l2,1e-06
SGDRegression,-0.466546007718895,0.01962795600583378,char_wb,"(1, 9)",N/A,huber,l2,1e-06
SGDRegression,-0.33140393690810116,0.0144900435443067,char_wb,"(1, 9)",clean_and_stem_text,huber,l2,1e-06
SGDRegression,-1.709080621138542,0.029509627585782225,char_wb,"(2, 6)",N/A,huber,l2,1e-06
SGDRegression,-1.3697240784139688,0.026495770339894413,char_wb,"(2, 6)",clean_and_stem_text,huber,l2,1e-06
SGDRegression,-2.7991820361825406,0.04040218778638094,char_wb,"(3, 7)",N/A,huber,l2,1e-06
SGDRegression,-2.4698711857975395,0.03763904912520821,char_wb,"(3, 7)",clean_and_stem_text,huber,l2,1e-06
SGDRegression,-4.255069908416905,0.05038845259575721,char_wb,"(4, 9)",N/A,huber,l2,1e-06
SGDRegression,-3.4648847086967662,0.04833742557387475,char_wb,"(4, 9)",clean_and_stem_text,huber,l2,1e-06
SGDRegression,0.5547948322792844,0.009391328203798063,char,"(1, 3)",N/A,squared_loss,l1,1e-06
SGDRegression,0.5501891740487869,0.011793140387942089,char,"(1, 3)",clean_and_stem_text,squared_loss,l1,1e-06
SGDRegression,0.5853474512793732,0.007417765564813896,char,"(1, 5)",N/A,squared_loss,l1,1e-06
SGDRegression,0.5837565230023716,0.009672567781450519,char,"(1, 5)",clean_and_stem_text,squared_loss,l1,1e-06
SGDRegression,0.5854858662396885,0.008214666522626606,char,"(1, 9)",N/A,squared_loss,l1,1e-06
SGDRegression,0.588050837325634,0.010911727119495515,char,"(1, 9)",clean_and_stem_text,squared_loss,l1,1e-06
SGDRegression,0.5949890765353042,0.007564661953610897,char,"(2, 6)",N/A,squared_loss,l1,1e-06
SGDRegression,0.593836917638002,0.009068961585309093,char,"(2, 6)",clean_and_stem_text,squared_loss,l1,1e-06
SGDRegression,0.6005981805996943,0.007341172214447069,char,"(3, 7)",N/A,squared_loss,l1,1e-06
SGDRegression,0.6000572581731433,0.008835797248657639,char,"(3, 7)",clean_and_stem_text,squared_loss,l1,1e-06
SGDRegression,0.6008943321695422,0.009745338593877646,char,"(4, 9)",N/A,squared_loss,l1,1e-06
SGDRegression,0.6020910558442194,0.011289101854392317,char,"(4, 9)",clean_and_stem_text,squared_loss,l1,1e-06
SGDRegression,0.5443017272548674,0.011117728669671494,char_wb,"(1, 3)",N/A,squared_loss,l1,1e-06
SGDRegression,0.5390400480966876,0.011432115850423148,char_wb,"(1, 3)",clean_and_stem_text,squared_loss,l1,1e-06
SGDRegression,0.5722404665131975,0.008782388116854289,char_wb,"(1, 5)",N/A,squared_loss,l1,1e-06
SGDRegression,0.5681630018894742,0.009153706741226661,char_wb,"(1, 5)",clean_and_stem_text,squared_loss,l1,1e-06
SGDRegression,0.5805739076584538,0.008689745225899876,char_wb,"(1, 9)",N/A,squared_loss,l1,1e-06
SGDRegression,0.575849783350783,0.009761255290844468,char_wb,"(1, 9)",clean_and_stem_text,squared_loss,l1,1e-06
SGDRegression,0.583051591067398,0.007866567552561047,char_wb,"(2, 6)",N/A,squared_loss,l1,1e-06
SGDRegression,0.5793969393374889,0.008620130549649533,char_wb,"(2, 6)",clean_and_stem_text,squared_loss,l1,1e-06
SGDRegression,0.5892178919615592,0.00739315542306476,char_wb,"(3, 7)",N/A,squared_loss,l1,1e-06
SGDRegression,0.5852696634139913,0.008481207744662477,char_wb,"(3, 7)",clean_and_stem_text,squared_loss,l1,1e-06
SGDRegression,0.5900288365028269,0.007924496048388015,char_wb,"(4, 9)",N/A,squared_loss,l1,1e-06
SGDRegression,0.5864211750351764,0.008921492167550818,char_wb,"(4, 9)",clean_and_stem_text,squared_loss,l1,1e-06
SGDRegression,0.5548754514478945,0.00953672987076425,char,"(1, 3)",N/A,squared_loss,l2,1e-06
SGDRegression,0.5499322675811219,0.012361410147520019,char,"(1, 3)",clean_and_stem_text,squared_loss,l2,1e-06
SGDRegression,0.5858187311551228,0.007344075928248375,char,"(1, 5)",N/A,squared_loss,l2,1e-06
SGDRegression,0.5840639627693708,0.009583617804420635,char,"(1, 5)",clean_and_stem_text,squared_loss,l2,1e-06
SGDRegression,0.5865316919797854,0.008185864386875602,char,"(1, 9)",N/A,squared_loss,l2,1e-06
SGDRegression,0.5889610071349736,0.010847550223090995,char,"(1, 9)",clean_and_stem_text,squared_loss,l2,1e-06
SGDRegression,0.5954275179199258,0.007539053951964006,char,"(2, 6)",N/A,squared_loss,l2,1e-06
SGDRegression,0.5942176152998281,0.009068505236346234,char,"(2, 6)",clean_and_stem_text,squared_loss,l2,1e-06
SGDRegression,0.6012046066696521,0.00730973403655988,char,"(3, 7)",N/A,squared_loss,l2,1e-06
SGDRegression,0.6005733265158224,0.008817031355787914,char,"(3, 7)",clean_and_stem_text,squared_loss,l2,1e-06
SGDRegression,0.6019706229889301,0.00971829632825514,char,"(4, 9)",N/A,squared_loss,l2,1e-06
SGDRegression,0.6030523732377044,0.011251499908491416,char,"(4, 9)",clean_and_stem_text,squared_loss,l2,1e-06
SGDRegression,0.5447354227108276,0.010794523834705132,char_wb,"(1, 3)",N/A,squared_loss,l2,1e-06
SGDRegression,0.5393446782235444,0.011880521303728296,char_wb,"(1, 3)",clean_and_stem_text,squared_loss,l2,1e-06
SGDRegression,0.5721918254576355,0.00855946416120021,char_wb,"(1, 5)",N/A,squared_loss,l2,1e-06
SGDRegression,0.5683067817553032,0.009173227704160885,char_wb,"(1, 5)",clean_and_stem_text,squared_loss,l2,1e-06
SGDRegression,0.5808767352648772,0.008333460276527392,char_wb,"(1, 9)",N/A,squared_loss,l2,1e-06
SGDRegression,0.5761127689665949,0.009917168738715914,char_wb,"(1, 9)",clean_and_stem_text,squared_loss,l2,1e-06
SGDRegression,0.5833254163576107,0.007880543658194255,char_wb,"(2, 6)",N/A,squared_loss,l2,1e-06
SGDRegression,0.5795789230073094,0.008589848066372786,char_wb,"(2, 6)",clean_and_stem_text,squared_loss,l2,1e-06
SGDRegression,0.5895163158826016,0.007365621233792361,char_wb,"(3, 7)",N/A,squared_loss,l2,1e-06
SGDRegression,0.58549987300617,0.008473984962057098,char_wb,"(3, 7)",clean_and_stem_text,squared_loss,l2,1e-06
SGDRegression,0.5904108825895389,0.007895238243705019,char_wb,"(4, 9)",N/A,squared_loss,l2,1e-06
SGDRegression,0.5866820718034708,0.008903491856388732,char_wb,"(4, 9)",clean_and_stem_text,squared_loss,l2,1e-06
SGDRegression,-0.24897822486531912,0.010638736982612446,char,"(1, 3)",N/A,huber,l1,1e-05
SGDRegression,-0.2046868280026195,0.00903075538850317,char,"(1, 3)",clean_and_stem_text,huber,l1,1e-05
SGDRegression,-0.694537689394577,0.02323542357471936,char,"(1, 5)",N/A,huber,l1,1e-05
SGDRegression,-0.631898472948461,0.018355237697321274,char,"(1, 5)",clean_and_stem_text,huber,l1,1e-05
SGDRegression,-2.1038365878847896,0.040450668675345094,char,"(1, 9)",N/A,huber,l1,1e-05
SGDRegression,-2.0679704515628208,0.03851611594513197,char,"(1, 9)",clean_and_stem_text,huber,l1,1e-05
SGDRegression,-2.5814819046173083,0.038841056518115355,char,"(2, 6)",N/A,huber,l1,1e-05
SGDRegression,-2.4635121678918552,0.0383014048188375,char,"(2, 6)",clean_and_stem_text,huber,l1,1e-05
SGDRegression,-4.681300546022325,0.05875547244989264,char,"(3, 7)",N/A,huber,l1,1e-05
SGDRegression,-4.545871239800436,0.057231566681553145,char,"(3, 7)",clean_and_stem_text,huber,l1,1e-05
SGDRegression,-5.2719714030168126,0.062449256692367616,char,"(4, 9)",N/A,huber,l1,1e-05
SGDRegression,-5.256677485445508,0.062356242118301236,char,"(4, 9)",clean_and_stem_text,huber,l1,1e-05
SGDRegression,-0.12350470603649821,0.005699636769839616,char_wb,"(1, 3)",N/A,huber,l1,1e-05
SGDRegression,-0.08272796221149803,0.004951695356508296,char_wb,"(1, 3)",clean_and_stem_text,huber,l1,1e-05
SGDRegression,-0.2788879811298063,0.012150447666688546,char_wb,"(1, 5)",N/A,huber,l1,1e-05
SGDRegression,-0.20282735341153516,0.010077594284760094,char_wb,"(1, 5)",clean_and_stem_text,huber,l1,1e-05
