estimator,r2_performance_mean,r2_performance_std,vect__analyzer,vect__ngram_range,vect__preprocessor,sgd__loss,sgd__penalty,sgd__alpha
SGDRegression,-0.25695244637808934,0.015944644872695184,char,"(1, 3)",N/A,huber,l1,1e-06
SGDRegression,-0.24789394093806333,0.012970708537392807,char,"(1, 3)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-0.28891903169908456,0.013079074083151341,char,"(1, 5)",N/A,huber,l1,1e-06
SGDRegression,-0.2865472134819075,0.013068539774770927,char,"(1, 5)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-0.31427998123366935,0.013320879094740652,char,"(1, 9)",N/A,huber,l1,1e-06
SGDRegression,-0.31331084523169644,0.013234748201223976,char,"(1, 9)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-0.31334679335956805,0.01331766256719506,char,"(2, 6)",N/A,huber,l1,1e-06
SGDRegression,-0.3118654896837014,0.013247682234939504,char,"(2, 6)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-0.3245378667189459,0.013500664755004494,char,"(3, 7)",N/A,huber,l1,1e-06
SGDRegression,-0.3237064080756488,0.013445407381318266,char,"(3, 7)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-0.3332268224439273,0.013597964205051284,char,"(4, 9)",N/A,huber,l1,1e-06
SGDRegression,-0.33285623779193807,0.01354570603509473,char,"(4, 9)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-0.24981423935202401,0.013330597257781785,char_wb,"(1, 3)",N/A,huber,l1,1e-06
SGDRegression,-0.23383945957538327,0.015408520643903904,char_wb,"(1, 3)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-0.266156427643708,0.01414348904829571,char_wb,"(1, 5)",N/A,huber,l1,1e-06
SGDRegression,-0.24389560501471036,0.013005224951440523,char_wb,"(1, 5)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-0.2805788965168848,0.013029687462306073,char_wb,"(1, 9)",N/A,huber,l1,1e-06
SGDRegression,-0.25474646625821157,0.012815951808076433,char_wb,"(1, 9)",clean_and_stem_text,huber,l1,1e-06
