estimator,r2_performance_mean,r2_performance_std,vect__analyzer,vect__ngram_range,vect__preprocessor,sgd__loss,sgd__penalty,sgd__alpha
SGDRegression,0.6856982368857338,0.012878069964904345,char,"(1, 3)",clean_and_stem_text,squared_loss,l1,1e-06
SGDRegression,0.7003383268694794,0.013313043280779913,char,"(1, 5)",N/A,squared_loss,l1,1e-06
SGDRegression,0.6992572835018258,0.012541717432804661,char,"(1, 5)",clean_and_stem_text,squared_loss,l1,1e-06
SGDRegression,0.6955831105554339,0.013268582483395101,char,"(1, 9)",N/A,squared_loss,l1,1e-06
SGDRegression,0.6953965248129605,0.012208653449208136,char,"(1, 9)",clean_and_stem_text,squared_loss,l1,1e-06
SGDRegression,0.708071077054334,0.013532454266895009,char,"(2, 6)",N/A,squared_loss,l1,1e-06
SGDRegression,0.7063478683008741,0.01291031480909775,char,"(2, 6)",clean_and_stem_text,squared_loss,l1,1e-06
SGDRegression,0.7143834547629913,0.014177837407075332,char,"(3, 7)",N/A,squared_loss,l1,1e-06
SGDRegression,0.7128874662715858,0.01347390503447972,char,"(3, 7)",clean_and_stem_text,squared_loss,l1,1e-06
SGDRegression,0.7170215078376323,0.014187571132101907,char,"(4, 9)",N/A,squared_loss,l1,1e-06
SGDRegression,0.7163732923460056,0.013277804558169475,char,"(4, 9)",clean_and_stem_text,squared_loss,l1,1e-06
SGDRegression,0.6832128904202441,0.014139687400960934,char_wb,"(1, 3)",N/A,squared_loss,l1,1e-06
SGDRegression,0.671247295253556,0.014025886572785225,char_wb,"(1, 3)",clean_and_stem_text,squared_loss,l1,1e-06
SGDRegression,0.6888187454229863,0.014262839418941402,char_wb,"(1, 5)",N/A,squared_loss,l1,1e-06
SGDRegression,0.6749991445919521,0.014488654644696494,char_wb,"(1, 5)",clean_and_stem_text,squared_loss,l1,1e-06
SGDRegression,0.6901936512372209,0.014678432233473223,char_wb,"(1, 9)",N/A,squared_loss,l1,1e-06
SGDRegression,0.6764824143742345,0.015088529090374211,char_wb,"(1, 9)",clean_and_stem_text,squared_loss,l1,1e-06
SGDRegression,0.6934921194176091,0.014104072995996766,char_wb,"(2, 6)",N/A,squared_loss,l1,1e-06
SGDRegression,0.6790626362505803,0.014130505092705211,char_wb,"(2, 6)",clean_and_stem_text,squared_loss,l1,1e-06
SGDRegression,0.6971346166464659,0.014909350021085342,char_wb,"(3, 7)",N/A,squared_loss,l1,1e-06
SGDRegression,0.682667936041401,0.01417721841973076,char_wb,"(3, 7)",clean_and_stem_text,squared_loss,l1,1e-06
SGDRegression,0.6945413488382839,0.014752205355581213,char_wb,"(4, 9)",N/A,squared_loss,l1,1e-06
SGDRegression,0.6821658536095775,0.013325847209075016,char_wb,"(4, 9)",clean_and_stem_text,squared_loss,l1,1e-06
SGDRegression,0.6890052263327022,0.012891737104890553,char,"(1, 3)",N/A,squared_loss,l2,1e-06
SGDRegression,0.6857341043071173,0.012932828114551272,char,"(1, 3)",clean_and_stem_text,squared_loss,l2,1e-06
SGDRegression,0.700553347390573,0.01333470371934346,char,"(1, 5)",N/A,squared_loss,l2,1e-06
SGDRegression,0.6994505882575821,0.012633956916809868,char,"(1, 5)",clean_and_stem_text,squared_loss,l2,1e-06
SGDRegression,0.6962740073607334,0.013249014813034187,char,"(1, 9)",N/A,squared_loss,l2,1e-06
SGDRegression,0.6960105333057347,0.012207429137277726,char,"(1, 9)",clean_and_stem_text,squared_loss,l2,1e-06
SGDRegression,0.7084058015505106,0.013499437699068815,char,"(2, 6)",N/A,squared_loss,l2,1e-06
SGDRegression,0.706599201289898,0.012917818324857184,char,"(2, 6)",clean_and_stem_text,squared_loss,l2,1e-06
SGDRegression,0.7147948554729192,0.014149417996488806,char,"(3, 7)",N/A,squared_loss,l2,1e-06
SGDRegression,0.7132745202718793,0.013460220842411295,char,"(3, 7)",clean_and_stem_text,squared_loss,l2,1e-06
SGDRegression,0.7176403889828213,0.014162895292679521,char,"(4, 9)",N/A,squared_loss,l2,1e-06
SGDRegression,0.7169535515433745,0.013280571717193927,char,"(4, 9)",clean_and_stem_text,squared_loss,l2,1e-06
SGDRegression,0.683456401797282,0.014038486048845177,char_wb,"(1, 3)",N/A,squared_loss,l2,1e-06
SGDRegression,0.6711284383852263,0.014351227848647575,char_wb,"(1, 3)",clean_and_stem_text,squared_loss,l2,1e-06
SGDRegression,0.6891304307576913,0.01429399613728666,char_wb,"(1, 5)",N/A,squared_loss,l2,1e-06
SGDRegression,0.6750676816185397,0.01458128389334863,char_wb,"(1, 5)",clean_and_stem_text,squared_loss,l2,1e-06
