estimator,r2_performance_mean,r2_performance_std,vect__analyzer,vect__ngram_range,vect__preprocessor,sgd__loss,sgd__penalty,sgd__alpha
SGDRegression,-0.24026601371168893,0.01885218800686529,char,"(1, 3)",N/A,huber,l1,1e-06
SGDRegression,-0.23984919840966218,0.018917954351593585,char,"(1, 3)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-0.25803118972421657,0.01901824966750645,char,"(1, 5)",N/A,huber,l1,1e-06
SGDRegression,-0.25774496880356895,0.01909065439896494,char,"(1, 5)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-0.27638806715153913,0.019562570023696088,char,"(1, 9)",N/A,huber,l1,1e-06
SGDRegression,-0.27640886807323073,0.019664060205455164,char,"(1, 9)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-0.2815939490346157,0.019837128210460412,char,"(2, 6)",N/A,huber,l1,1e-06
SGDRegression,-0.2805892325486352,0.019873009289838865,char,"(2, 6)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-0.29143516941109626,0.020189819172735088,char,"(3, 7)",N/A,huber,l1,1e-06
SGDRegression,-0.29084474905234836,0.02019409619655969,char,"(3, 7)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-0.2974949521589721,0.020336634275500948,char,"(4, 9)",N/A,huber,l1,1e-06
SGDRegression,-0.2971926404952128,0.020337954141434824,char,"(4, 9)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-0.23469078313224703,0.01936903772982554,char_wb,"(1, 3)",N/A,huber,l1,1e-06
SGDRegression,-0.23384215106175862,0.01965048586353088,char_wb,"(1, 3)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-0.24589063149454743,0.019022735153196017,char_wb,"(1, 5)",N/A,huber,l1,1e-06
SGDRegression,-0.2438753644802385,0.01909638323361316,char_wb,"(1, 5)",clean_and_stem_text,huber,l1,1e-06
SGDRegression,-0.25431024798976987,0.019105147034633712,char_wb,"(1, 9)",N/A,huber,l1,1e-06
SGDRegression,-0.25049479661420365,0.019130491331082716,char_wb,"(1, 9)",clean_and_stem_text,huber,l1,1e-06
